A1BG	alpha-1-B glycoprotein
KIAA0196	KIAA0196
KIAA0226L	FLJ21562|KIAA0226-like
KIAA0232	KIAA0232
KIAA0319	NMIG|KIAA0319
KIAA0319L	KIAA1837|KIAA0319-like
KIAA0355	KIAA0355
KIAA0368	FLJ22036|ECM29|KIAA0368
KIAA0391	MRPP3|PRORP|KIAA0391
KIAA0408	KIAA0408
KIAA0430	LKAP|PPP1R34|Marf1|KIAA0430
KIAA0513	KIAA0513
KIAA0556	KIAA0556
KIAA0586	Talpid3|JBTS23|KIAA0586
KIAA0753	KIAA0753
KIAA0754	KIAA0754
KIAA0825	DKFZp686F0372|MGC34713|KIAA0825
KIAA0895	KIAA0895
KIAA0895L	LOC653319|KIAA0895-like
KIAA0907	BLOM7|KIAA0907
KIAA0922	DKFZp586H1322|TMEM131L|KIAA0922
KIAA0930	bK268H5.C22.1|KIAA0930
KIAA1024	KIAA1024
KIAA1024L	KIAA1024-like
KIAA1033	SWIP|KIAA1033
KIAA1107	KIAA1107
KIAA1109	FLJ21404|FSA|KIAA1371|Tweek|KIAA1109
KIAA1143	KIAA1143
KIAA1147	LCHN|KIAA1147
KIAA1161	NET37|KIAA1161
KIAA1191	FLJ21022|p33MONOX|KIAA1191
KIAA1210	KIAA1210
KIAA1211	KIAA1211
KIAA1211L	MGC42367|KIAA1211-like
KIAA1217	DKFZP761L0424|SKT|KIAA1217
KIAA1257	KIAA1257
KIAA1324	maba1|EIG121|KIAA1324
KIAA1324L	FLJ31340|EIG121L|KIAA1324-like
KIAA1328	KIAA1328
KIAA1429	DKFZP434I116|fSAP121|KIAA1429
KIAA1456	FLJ36980|KIAA1456
KIAA1462	JCAD|KIAA1462
KIAA1468	HsT885|HsT3308|FLJ33841|KIAA1468
KIAA1522	KIAA1522
KIAA1524	CIP2A|KIAA1524
KIAA1549	KIAA1549
KIAA1549L	G2|MGC34830|KIAA1549-like
KIAA1551	FLJ20696|FLJ10652|UTA2-1|KIAA1551
KIAA1586	KIAA1586
KIAA1614	KIAA1614
KIAA1644	KIAA1644
KIAA1671	KIAA1671
KIAA1683	KIAA1683
KIAA1715	ulnaless|Ul|LNP1|LNP|KIAA1715
KIAA1755	RP5-1054A22.3|KIAA1755
KIAA1841	KIAA1841
KIAA1919	MGC33953|MFSD4B|KIAA1919
KIAA1958	FLJ39294|KIAA1958
KIAA2012	KIAA2012
KIAA2013	MGC33867|RP5-1077B9.1|KIAA2013
KIAA2022	XPN|MRX98|KIAA2022
KIAA2026	FLJ20375|KIAA2026
KIDINS220	ARMS|kinase D-interacting substrate, 220kDa
KIF11	Eg5|HKSP|TRIP5|kinesin family member 11
KIF12	kinesin family member 12
KIF13A	bA500C11.2|kinesin family member 13A
KIF13B	GAKIN|KIAA0639|kinesin family member 13B
KIF14	KIAA0042|kinesin family member 14
KIF15	HKLP2|NY-BR-62|kinesin family member 15
KIF16B	FLJ20135|dJ971B4.1|SNX23|kinesin family member 16B
KIF17	KIAA1405|KIF3X|KIF17B|OSM-3|KLP-2|kinesin family member 17
KIF18A	DKFZP434G2226|PPP1R99|kinesin family member 18A
KIF18B	kinesin family member 18B
KIF19	FLJ37300|KIF19A|kinesin family member 19
KIF1A	UNC104|kinesin family member 1A
KIF1B	KIAA0591|KLP|HMSNII|kinesin family member 1B
KIF1BP	DKFZP586B0923|TTC20|KBP|KIF1 binding protein
KIF1C	SPAX2|SPG58|kinesin family member 1C
KIF20A	kinesin family member 20A
KIF20B	MPP1|KRMP1|CT90|kinesin family member 20B
KIF21A	FLJ20052|kinesin family member 21A
KIF21B	DKFZP434J212|KIAA0449|kinesin family member 21B
KIF22	Kid|OBP-1|OBP-2|kinesin family member 22
KIF23	MKLP1|MKLP-1|kinesin family member 23
KIF24	bA571F15.4|FLJ10933|FLJ43884|kinesin family member 24
KIF25	kinesin family member 25
KIF26A	KIAA1236|DKFZP434N178|kinesin family member 26A
KIF26B	FLJ10157|kinesin family member 26B
KIF27	DKFZp434D0917|kinesin family member 27
KIF2A	HK2|kinesin heavy chain member 2A
KIF2B	kinesin family member 2B
KIF2C	MCAK|CT139|kinesin family member 2C
KIF3A	FLA10|KLP-20|kinesin family member 3A
KIF3B	KIAA0359|FLA8|KLP-11|kinesin family member 3B
KIF3C	kinesin family member 3C
KIF4A	KIF4-G1|KIF4|HSA271784|FLJ12530|FLJ12655|FLJ14204|FLJ20631|MRX100|kinesin family member 4A
KIF4B	kinesin family member 4B
KIF5A	D12S1889|NKHC|MY050|kinesin family member 5A
KIF5B	KNS|kinesin family member 5B
KIF5C	kinesin family member 5C
KIF6	dJ1043E3.1|MGC33317|dJ137F1.4|dJ188D3.1|DKFZp451I2418|kinesin family member 6
KIF7	JBTS12|kinesin family member 7
KIF9	MGC104186|kinesin family member 9
KIFAP3	SMAP|KAP3|FLA3|KAP-1|kinesin-associated protein 3
KIFC1	HSET|kinesin family member C1
KIFC2	kinesin family member C2
KIFC3	kinesin family member C3
KIN	KIN17|Rts2|Kin17 DNA and RNA binding protein
KIR2DL1	cl-42|nkat1|47.11|p58.1|CD158A|killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1
KIR2DL3	cl-6|nkat2|nkat2a|nkat2b|p58|CD158B2|killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3
KIR2DL4	103AS|15.212|CD158D|killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4
KIR2DS4	cl-39|KKA3|nkat8|CD158i|killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4
KIR3DL1	cl-2|NKB1|cl-11|nkat3|NKB1B|AMB11|CD158e1/2|CD158E1|CD158e2|killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1
KIR3DL2	cl-5|nkat4|nkat4a|nkat4b|CD158K|killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2
KIR3DL3	KIRC1|KIR3DL7|KIR44|CD158z|killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3
KIRREL	NEPH1|kin of IRRE like (Drosophila)
KIRREL2	NLG1|NEPH3|FILTRIN|DKFZp564A1164|MGC15718|kin of IRRE like 2 (Drosophila)
KIRREL3	NEPH2|KIAA1867|KIRRE|kin of IRRE like 3 (Drosophila)
KISS1	KiSS-1 metastasis-suppressor
KISS1R	HOT7T175|AXOR12|KISS1 receptor
KIT	CD117|SCFR|C-Kit|v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
KITLG	SCF|SF|Kitl|KL-1|FPH2|KIT ligand
KIZ	HT013|kizuna centrosomal protein
KL	klotho
KLB	klotho beta
KLC1	KNS2A|KLC|hKLC1S|hKLC1N|hKLC1P|hKLC1G|hKLC1R|hKLC1J|hKLC1B|kinesin light chain 1
KLC2	FLJ12387|kinesin light chain 2
KLC3	KLC2L|KNS2B|KLCt|kinesin light chain 3
KLC4	bA387M24.3|kinesin light chain 4
KLF1	EKLF|Kruppel-like factor 1 (erythroid)
KLF10	EGRA|TIEG1|Kruppel-like factor 10
KLF11	Tieg3|MODY7|Kruppel-like factor 11
KLF12	AP-2rep|HSPC122|AP2REP|Kruppel-like factor 12
KLF13	RFLAT-1|BTEB3|NSLP1|FKLF-2|Kruppel-like factor 13
KLF14	BTEB5|Kruppel-like factor 14
KLF15	KKLF|Kruppel-like factor 15
KLF16	NSLP2|BTEB4|DRRF|Kruppel-like factor 16
KLF17	Zfp393|FLJ40160|Kruppel-like factor 17
KLF2	LKLF|Kruppel-like factor 2
KLF3	BKLF|Kruppel-like factor 3 (basic)
KLF4	EZF|GKLF|Kruppel-like factor 4 (gut)
KLF5	IKLF|CKLF|Kruppel-like factor 5 (intestinal)
KLF6	CPBP|GBF|Zf9|PAC1|Kruppel-like factor 6
KLF7	UKLF|Kruppel-like factor 7 (ubiquitous)
KLF8	BKLF3|ZNF741|DXS741|Kruppel-like factor 8
KLF9	Kruppel-like factor 9
KLHDC1	MST025|kelch domain containing 1
KLHDC10	KIAA0265|slim|kelch domain containing 10
KLHDC2	HCLP-1|LCP|kelch domain containing 2
KLHDC3	PEAS|hPeas|dJ20C7.3|kelch domain containing 3
KLHDC4	DKFZp434G0522|kelch domain containing 4
KLHDC7A	FLJ38753|kelch domain containing 7A
KLHDC7B	MGC16635|kelch domain containing 7B
KLHDC8A	FLJ10748|kelch domain containing 8A
KLHDC8B	MGC35097|kelch domain containing 8B
KLHDC9	KARCA1|kelch domain containing 9
KLHL1	KIAA1490|MRP2|FLJ30047|kelch-like family member 1
KLHL10	FLJ32662|kelch-like family member 10
KLHL11	FLJ10572|kelch-like family member 11
KLHL12	C3IP1|kelch-like family member 12
KLHL13	FLJ10262|kelch-like family member 13
KLHL14	KIAA1384|kelch-like family member 14
KLHL15	KIAA1677|kelch-like family member 15
KLHL17	kelch-like family member 17
KLHL18	KIAA0795|FLJ13703|kelch-like family member 18
KLHL2	MAV|kelch-like family member 2
KLHL20	KLEIP|KHLHX|kelch-like family member 20
KLHL21	KIAA0469|kelch-like family member 21
KLHL22	FLJ14360|KELCHL|kelch-like family member 22
KLHL23	MGC2610|FLJ37812|MGC22679|kelch-like family member 23
KLHL24	DRE1|FLJ20059|kelch-like family member 24
KLHL25	FLJ12587|ENC2|ENC-2|kelch-like family member 25
KLHL26	kelch-like family member 26
KLHL28	FLJ20081|kelch-like family member 28
KLHL29	KIAA1921|kelch-like family member 29
KLHL3	KIAA1129|kelch-like family member 3
KLHL30	FLJ43374|kelch-like family member 30
KLHL31	bA345L23.2|BKLHD6|kelch-like family member 31
KLHL32	kelch-like family member 32
KLHL33	kelch-like family member 33
KLHL34	FLJ34960|RP11-450P7.3|kelch-like family member 34
KLHL35	FLJ33790|kelch-like family member 35
KLHL36	FLJ12543|kelch-like family member 36
KLHL38	C8ORFK36|kelch-like family member 38
KLHL4	KIAA1687|DKELCHL|KHL4|kelch-like family member 4
KLHL40	SRYP|NEM8|kelch-like family member 40
KLHL41	SARCOSIN|Krp1|kelch-like family member 41
KLHL42	KIAA1340|Ctb9|kelch-like family member 42
KLHL5	kelch-like family member 5
KLHL6	FLJ00029|kelch-like family member 6
KLHL7	KLHL6|SBBI26|RP42|kelch-like family member 7
KLHL8	KIAA1378|kelch-like family member 8
KLHL9	KIAA1354|FLJ13568|kelch-like family member 9
KLK1	Klk6|kallikrein 1
KLK10	NES1|kallikrein-related peptidase 10
KLK11	TLSP|kallikrein-related peptidase 11
KLK12	KLK-L5|kallikrein-related peptidase 12
KLK13	KLK-L4|kallikrein-related peptidase 13
KLK14	KLK-L6|kallikrein-related peptidase 14
KLK15	HSRNASPH|ACO|prostinogen|kallikrein-related peptidase 15
KLK2	kallikrein-related peptidase 2
KLK3	PSA|kallikrein-related peptidase 3
KLK4	EMSP|EMSP1|PSTS|KLK-L1|kallikrein-related peptidase 4
KLK5	SCTE|KLK-L2|kallikrein-related peptidase 5
KLK6	Bssp|Klk7|neurosin|kallikrein-related peptidase 6
KLK7	SCCE|kallikrein-related peptidase 7
KLK8	HNP|TADG14|neuropsin|ovasin|kallikrein-related peptidase 8
KLK9	KLK-L3|kallikrein-related peptidase 9
KLKB1	kallikrein B, plasma (Fletcher factor) 1
KLLN	killin|killin, p53-regulated DNA replication inhibitor
KLRB1	CD161|NKR-P1|NKR-P1A|hNKR-P1A|CLEC5B|killer cell lectin-like receptor subfamily B, member 1
KLRC1	NKG2-A|NKG2-B|CD159a|killer cell lectin-like receptor subfamily C, member 1
KLRC2	NKG2-C|CD159c|killer cell lectin-like receptor subfamily C, member 2
KLRC3	NKG2-E|killer cell lectin-like receptor subfamily C, member 3
KLRC4	NKG2-F|killer cell lectin-like receptor subfamily C, member 4
KLRD1	killer cell lectin-like receptor subfamily D, member 1
KLRF1	CLEC5C|NKp80|killer cell lectin-like receptor subfamily F, member 1
KLRF2	NKp65|killer cell lectin-like receptor subfamily F, member 2
KLRG1	MAFA|2F1|MAFA-L|CLEC15A|killer cell lectin-like receptor subfamily G, member 1
KLRG2	FLJ44186|CLEC15B|killer cell lectin-like receptor subfamily G, member 2
KLRK1	NKG2D|KLR|NKG2-D|CD314|killer cell lectin-like receptor subfamily K, member 1
KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
KMT2A	TRX1|HRX|ALL-1|HTRX1|CXXC7|MLL1A|lysine (K)-specific methyltransferase 2A
KMT2B	KIAA0304|MLL2|TRX2|HRX2|WBP7|MLL1B|MLL4|CXXC10|lysine (K)-specific methyltransferase 2B
KMT2C	KIAA1506|HALR|lysine (K)-specific methyltransferase 2C
KMT2D	ALR|MLL4|CAGL114|lysine (K)-specific methyltransferase 2D
KMT2E	HDCMC04P|lysine (K)-specific methyltransferase 2E
KMT5A	SET8|SET07|PR-Set7|lysine (K)-specific methyltransferase 5A
KMT5B	CGI-85|lysine (K)-specific methyltransferase 5B
KMT5C	MGC2705|lysine (K)-specific methyltransferase 5C
KNCN	FLJ32011|KINO|L5|kinocilin
KNDC1	KIAA1768|bB439H18.3|FLJ25027|kinase non-catalytic C-lobe domain (KIND) containing 1
KNG1	BK|kininogen 1
KNOP1	101F10.1|FAM191A|TSG118|lysine-rich nucleolar protein 1
KNSTRN	FLJ14502|SKAP|kinastrin|TRAF4AF1|kinetochore-localized astrin/SPAG5 binding protein
KNTC1	KIAA0166|ROD|kinetochore associated 1
KPNA1	SRP1|RCH2|NPI-1|IPOA5|karyopherin alpha 1 (importin alpha 5)
KPNA2	SRP1alpha|IPOA1|QIP2|karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
KPNA3	SRP1gamma|SRP4|hSRP1|IPOA4|karyopherin alpha 3 (importin alpha 4)
KPNA4	QIP1|SRP3|IPOA3|MGC12217|MGC26703|karyopherin alpha 4 (importin alpha 3)
KPNA5	SRP6|IPOA6|karyopherin alpha 5 (importin alpha 6)
KPNA6	IPOA7|KPNA7|MGC17918|FLJ11249|karyopherin alpha 6 (importin alpha 7)
KPNA7	karyopherin alpha 7 (importin alpha 8)
KPNB1	NTF97|IPOB|MGC2155|MGC2156|MGC2157|IMB1|Impnb|IPO1|karyopherin (importin) beta 1
KPRP	keratinocyte proline-rich protein
KPTN	2E4|kaptin (actin binding protein)
KRAS	KRAS1|Kirsten rat sarcoma viral oncogene homolog
KRBA1	KIAA1862|KRAB-A domain containing 1
KRBA2	KRAB-A domain containing 2
KRBOX1	KRAB box domain containing 1
KRBOX4	FLJ20344|KRAB box domain containing 4
KRCC1	FLJ22333|lysine-rich coiled-coil 1
KREMEN1	KRM1|kringle containing transmembrane protein 1
KREMEN2	MGC10791|KRM2|kringle containing transmembrane protein 2
KRI1	FLJ12949|KRI1 homolog
KRIT1	CAM|KRIT1, ankyrin repeat containing
KRR1	RIP-1|KRR1, small subunit (SSU) processome component, homolog (yeast)
KRT1	KRT1A|keratin 1, type II
KRT10	K10|CK10|keratin 10, type I
KRT12	K12|keratin 12, type I
KRT13	K13|CK13|MGC3781|MGC161462|keratin 13, type I
KRT14	keratin 14, type I
KRT15	K15|CK15|K1CO|keratin 15, type I
KRT16	NEPPK|keratin 16, type I
KRT17	keratin 17, type I
KRT18	keratin 18, type I
KRT19	K19|CK19|K1CS|MGC15366|keratin 19, type I
KRT2	KRTE|keratin 2, type II
KRT20	CK20|K20|MGC35423|keratin 20, type I
KRT222	KA21|MGC45562|keratin 222, type II
KRT23	K23|DKFZP434G032|HAIK1|CK23|MGC26158|keratin 23, type I
KRT24	FLJ20261|MGC138169|MGC138173|keratin 24, type I
KRT25	keratin 25, type I
KRT26	keratin 26, type I
KRT27	keratin 27, type I
KRT28	keratin 28, type I
KRT3	CK3|K3|keratin 3, type II
KRT31	Ha-1|keratin 31, type I
KRT32	Ha-2|keratin 32, type I
KRT33A	Ha-3I|Krt1-3|keratin 33A, type I
KRT33B	Ha-3II|keratin 33B, type I
KRT34	Ha-4|keratin 34, type I
KRT35	Ha-5|keratin 35, type I
KRT36	keratin 36, type I
KRT37	keratin 37, type I
KRT38	keratin 38, type I
KRT39	KA35|keratin 39, type I
KRT4	CK4|K4|keratin 4, type II
KRT40	FLJ36600|KA36|keratin 40, type I
KRT5	KRT5A|keratin 5, type II
KRT6A	CK6C|K6C|CK6D|K6D|keratin 6A, type II
KRT6B	keratin 6B, type II
KRT6C	keratin 6C, type II
KRT7	K7|CK7|K2C7|SCL|keratin 7, type II
KRT71	KRT6IRS|KRT6IRS1|K6IRS1|keratin 71, type II
KRT72	K6IRS2|KRT6IRS2|KRT6|K6irs|keratin 72, type II
KRT73	KRT6IRS3|K6IRS3|keratin 73, type II
KRT74	K6IRS4|KRT5C|KRT6IRS4|keratin 74, type II
KRT75	K6HF|keratin 75, type II
KRT76	HUMCYT2A|KRT2B|KRT2P|keratin 76, type II
KRT77	keratin 77, type II
KRT78	K5B|keratin 78, type II
KRT79	K6L|KRT6L|keratin 79, type II
KRT8	CARD2|K8|CK8|CYK8|K2C8|KO|keratin 8, type II
KRT80	KB20|keratin 80, type II
KRT81	Hb-1|keratin 81, type II
KRT82	Hb-2|keratin 82, type II
KRT83	Hb-3|keratin 83, type II
KRT84	Hb-4|keratin 84, type II
KRT85	Hb-5|keratin 85, type II
KRT86	MNX|Hb6|keratin 86, type II
KRT9	EPPK|K9|CK-9|keratin 9, type I
KRTAP1-1	KAP1.1B|HB2A|KAP1.1|KAP1.1A|keratin associated protein 1-1
KRTAP1-3	KAP1.3|keratin associated protein 1-3
KRTAP1-4	KAP1.4|keratin associated protein 1-4
KRTAP1-5	KAP1.5|keratin associated protein 1-5
KRTAP10-1	KAP10.1|KAP18.1|keratin associated protein 10-1
KRTAP10-10	KAP10.10|KAP18.10|KRTAP18-10|keratin associated protein 10-10
KRTAP10-11	KRTAP18.11|KAP18.11|KAP10.11|keratin associated protein 10-11
KRTAP10-12	KRTAP18.12|KAP10.12|keratin associated protein 10-12
KRTAP10-2	KAP10.2|KAP18.2|keratin associated protein 10-2
KRTAP10-3	KAP10.3|KAP18.3|keratin associated protein 10-3
KRTAP10-4	KRTAP18.4|KAP10.4|keratin associated protein 10-4
KRTAP10-5	KAP10.5|KAP18.5|keratin associated protein 10-5
KRTAP10-6	KRTAP18.6|KAP18.6|KAP10.6|keratin associated protein 10-6
KRTAP10-7	KAP10.7|KAP18.7|keratin associated protein 10-7
KRTAP10-8	KRTAP18.8|KAP10.8|keratin associated protein 10-8
KRTAP10-9	KAP10.9|KAP18.9|keratin associated protein 10-9
KRTAP11-1	KAP11.1|keratin associated protein 11-1
KRTAP12-1	KRTAP12.1|KAP12.1|keratin associated protein 12-1
KRTAP12-2	KRTAP12.2|KAP12.2|keratin associated protein 12-2
KRTAP12-3	KRTAP12.3|keratin associated protein 12-3
KRTAP12-4	KRTAP12.4|keratin associated protein 12-4
KRTAP13-1	KAP13.1|keratin associated protein 13-1
KRTAP13-2	KAP13-2|keratin associated protein 13-2
KRTAP13-3	KAP13.3|keratin associated protein 13-3
KRTAP13-4	KAP13.4|keratin associated protein 13-4
KRTAP15-1	KAP15.1|keratin associated protein 15-1
KRTAP16-1	KAP16.1|keratin associated protein 16-1
KRTAP17-1	KAP17.1|keratin associated protein 17-1
KRTAP19-1	KAP19.1|keratin associated protein 19-1
KRTAP19-2	KAP19.2|keratin associated protein 19-2
KRTAP19-3	KAP19.3|keratin associated protein 19-3
KRTAP19-4	KAP19.4|keratin associated protein 19-4
KRTAP19-5	KAP19.5|keratin associated protein 19-5
KRTAP19-6	KAP19.6|keratin associated protein 19-6
KRTAP19-7	KAP19.7|keratin associated protein 19-7
KRTAP19-8	keratin associated protein 19-8
KRTAP2-1	KAP2.1A|keratin associated protein 2-1
KRTAP2-2	KAP2.2|keratin associated protein 2-2
KRTAP2-3	KAP2.3|keratin associated protein 2-3
KRTAP2-4	KAP2.4|keratin associated protein 2-4
KRTAP20-1	KAP20.1|keratin associated protein 20-1
KRTAP20-2	KAP20.2|keratin associated protein 20-2
KRTAP20-3	KAP20.3|KAP19D|keratin associated protein 20-3
KRTAP21-1	KAP21.1|keratin associated protein 21-1
KRTAP21-2	KAP21.2|keratin associated protein 21-2
KRTAP21-3	keratin associated protein 21-3
KRTAP22-1	KAP22.1|keratin associated protein 22-1
KRTAP22-2	KAP22.2|keratin associated protein 22-2
KRTAP23-1	KAP23.1|keratin associated protein 23-1
KRTAP24-1	KAP24.1|keratin associated protein 24-1
KRTAP25-1	KAP25.1|keratin associated protein 25-1
KRTAP26-1	keratin associated protein 26-1
KRTAP27-1	keratin associated protein 27-1
KRTAP29-1	KAP29.2|keratin associated protein 29-1
KRTAP3-1	KAP3.1|keratin associated protein 3-1
KRTAP3-2	KAP3.2|keratin associated protein 3-2
KRTAP3-3	KAP3.3|keratin associated protein 3-3
KRTAP4-1	KAP4.1|KAP4.10|keratin associated protein 4-1
KRTAP4-11	KAP4.11|KAP4.14|keratin associated protein 4-11
KRTAP4-12	KAP4.12|keratin associated protein 4-12
KRTAP4-2	KAP4.2|keratin associated protein 4-2
KRTAP4-3	KAP4.3|keratin associated protein 4-3
KRTAP4-4	KAP4.4|KAP4.13|keratin associated protein 4-4
KRTAP4-5	KAP4.5|keratin associated protein 4-5
KRTAP4-6	KAP4.6|KAP4.15|keratin associated protein 4-6
KRTAP4-7	KAP4.7|keratin associated protein 4-7
KRTAP4-8	KAP4.8|keratin associated protein 4-8
KRTAP4-9	KAP4.9|keratin associated protein 4-9
KRTAP5-1	KRTAP5.1|keratin associated protein 5-1
KRTAP5-10	KRTAP5.10|keratin associated protein 5-10
KRTAP5-11	KRTAP5.11|KRTAP5-6|keratin associated protein 5-11
KRTAP5-2	KRTAP5.2|KRTAP5-8|keratin associated protein 5-2
KRTAP5-3	KRTAP5.3|KRTAP5-9|keratin associated protein 5-3
KRTAP5-4	KRTAP5.4|keratin associated protein 5-4
KRTAP5-5	KRTAP5.5|KRTAP5-11|keratin associated protein 5-5
KRTAP5-6	KRTAP5.6|keratin associated protein 5-6
KRTAP5-7	KRTAP5.7|KRTAP5-3|keratin associated protein 5-7
KRTAP5-8	KRTAP5.8|UHSKerB|KRTAP5-2|keratin associated protein 5-8
KRTAP5-9	KRTAP5.9|KRTAP5-1|keratin associated protein 5-9
KRTAP6-1	KAP6.1|C21orf103|keratin associated protein 6-1
KRTAP6-2	KAP6.2|keratin associated protein 6-2
KRTAP6-3	KAP6.3|keratin associated protein 6-3
KRTAP7-1	KAP7.1|keratin associated protein 7-1 (gene/pseudogene)
KRTAP8-1	KAP8.1|keratin associated protein 8-1
KRTAP9-1	KAP9.1|keratin associated protein 9-1
KRTAP9-2	KAP9.2|keratin associated protein 9-2
KRTAP9-3	KAP9.3|keratin associated protein 9-3
KRTAP9-4	KAP9.4|keratin associated protein 9-4
KRTAP9-6	KAP9.6|keratin associated protein 9-6
KRTAP9-7	KAP9.7|keratin associated protein 9-7
KRTAP9-8	KAP9.8|keratin associated protein 9-8
KRTAP9-9	KAP9.9|KAP9.5|keratin associated protein 9-9
KRTCAP2	KCP2|keratinocyte associated protein 2
KRTCAP3	KCP3|keratinocyte associated protein 3
KRTDAP	KDAP|UNQ467|keratinocyte differentiation-associated protein
KSR1	RSU2|kinase suppressor of ras 1
KSR2	FLJ25965|kinase suppressor of ras 2
KTI12	TOT4|MGC20419|SBBI81|KTI12 chromatin associated homolog
KTN1	KIAA0004|CG1|kinectin 1 (kinesin receptor)
KXD1	FLJ25480|MGC2749|KXDL|BORCS4|KxDL motif containing 1
KY	FLJ33207|kyphoscoliosis peptidase
KYNU	kynureninase
L1CAM	CD171|L1 cell adhesion molecule
L1TD1	FLJ10884|ECAT11|LINE-1 type transposase domain containing 1
L2HGDH	FLJ12618|L-2-hydroxyglutarate dehydrogenase
L3HYPDH	FLJ25436|L-3-hydroxyproline dehydratase (trans-)
L3MBTL1	ZC2HC3|dJ138B7.3|DKFZp586P1522|KIAA0681|l(3)mbt-like 1 (Drosophila)
L3MBTL2	H-l(3)mbt-l|DKFZP761I141|dJ756G23.3|l(3)mbt-like 2 (Drosophila)
L3MBTL3	KIAA1798|l(3)mbt-like 3 (Drosophila)
L3MBTL4	FLJ35936|HsT1031|l(3)mbt-like 4 (Drosophila)
LACC1	FLJ38725|laccase (multicopper oxidoreductase) domain containing 1
LACE1	AFG1|lactation elevated 1
LACRT	LACRITIN|lacritin
LACTB	FLJ14902|lactamase, beta
LACTB2	CGI-83|lactamase, beta 2
LACTBL1	lactamase, beta-like 1
LAD1	ladinin 1
LAG3	CD223|lymphocyte-activation gene 3
LAGE3	ITBA2|CVG5|DXS9951E|DXS9879E|ESO3|L antigen family, member 3
LAIR1	CD305|leukocyte-associated immunoglobulin-like receptor 1
LAIR2	CD306|leukocyte-associated immunoglobulin-like receptor 2
LALBA	LYZL7|lactalbumin, alpha-
LAMA1	laminin, alpha 1
LAMA2	laminin, alpha 2
LAMA3	nicein-150kDa|kalinin-165kDa|BM600-150kDa|epiligrin|laminin, alpha 3
LAMA4	LAMA3|laminin, alpha 4
LAMA5	laminin, alpha 5
LAMB1	laminin, beta 1
LAMB2	laminin, beta 2 (laminin S)
LAMB3	nicein-125kDa|kalinin-140kDa|BM600-125kDa|laminin, beta 3
LAMB4	laminin, beta 4
LAMC1	laminin, gamma 1 (formerly LAMB2)
LAMC2	nicein-100kDa|kalinin-105kDa|BM600-100kDa|laminin, gamma 2
LAMC3	DKFZp434E202|laminin, gamma 3
LAMP1	CD107a|lysosomal-associated membrane protein 1
LAMP2	CD107b|lysosomal-associated membrane protein 2
LAMP3	LAMP|TSC403|DC-LAMP|DCLAMP|CD208|lysosomal-associated membrane protein 3
LAMP5	dJ1119D9.3|BAD-LAMP|UNC-43|lysosomal-associated membrane protein family, member 5
LAMTOR1	FLJ20625|p18|p27RF-Rho|Pdro|Ragulator1|late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
LAMTOR2	MAPBPIP|MAPKSP1AP|p14|ENDAP|Ragulator2|late endosomal/lysosomal adaptor, MAPK and MTOR activator 2
LAMTOR3	MP1|MAPBP|Ragulator3|late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
LAMTOR5	XIP|MGC71071|late endosomal/lysosomal adaptor, MAPK and MTOR activator 5
LANCL1	p40|LanC lantibiotic synthetase component C-like 1 (bacterial)
LANCL2	TASP|LanC lantibiotic synthetase component C-like 2 (bacterial)
LANCL3	FLJ42925|LanC lantibiotic synthetase component C-like 3 (bacterial)
LAP3	LAPEP|LAP|leucine aminopeptidase 3
LAPTM4A	HUMORF13|KIAA0108|Mtrp|LAPTM4|lysosomal protein transmembrane 4 alpha
LAPTM4B	LC27|lysosomal protein transmembrane 4 beta
LAPTM5	lysosomal protein transmembrane 5
LARGE	KIAA0609|like-glycosyltransferase
LARP1	LARP|KIAA0731|MGC19556|La ribonucleoprotein domain family, member 1
LARP1B	FLJ10378|DKFZp434K245|DKFZp686E0316|La ribonucleoprotein domain family, member 1B
LARP4	PP13296|La ribonucleoprotein domain family, member 4
LARP4B	La ribonucleoprotein domain family, member 4B
LARP6	acheron|FLJ11196|La ribonucleoprotein domain family, member 6
LARP7	HDCMA18P|PIP7S|DKFZP564K112|La ribonucleoprotein domain family, member 7
LARS	HSPC192|FLJ10595|FLJ21788|LARS1|LEUS|RNTLS|leucyl-tRNA synthetase
LARS2	KIAA0028|LEURS|MGC26121|leucyl-tRNA synthetase 2, mitochondrial
LAS1L	FLJ12525|LAS1-like, ribosome biogenesis factor
LASP1	MLN50|Lasp-1|LIM and SH3 protein 1
LAT	LAT1|linker for activation of T cells
LAT2	WSCR5|HSPC046|LAB|NTAL|linker for activation of T cells family, member 2
LATS1	WARTS|large tumor suppressor kinase 1
LATS2	large tumor suppressor kinase 2
LAX1	LAX|FLJ20340|lymphocyte transmembrane adaptor 1
