NoCell	NoD@ NA
V6.5 embryonic stem cells	PSC@ Embryonic Stem Cells
Early haematopoietic cell line dervied from ES cells	PSC@ mESC derived haematopoietic progenitor
E14Tg2a murine ES cells|E14	PSC@ Embryonic Stem Cells
iTreg CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
Th17 CD4+ T cells	Bld@ Th17
Th2 CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
Th1 CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
Naive CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
nTreg CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
E14|embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6J|head|embryonic day 12.5	Emb@ Embryonic brains
C57BL/6J|headless body|embryonic day 12.5	Emb@ Embryonic trunk
NS5|neuronal stem cell	Neu@ Neural Stem Cells
all brain cells|Brain|Postnatal|N/A|wildtype	Neu@ Brain
embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6|Cortex	Neu@ Cerebellar Cortex
B6CBAF1/J|Forebrain E10.5|Forebrain cells	Emb@ Embryonic brains
3134|Pol II ChIP-Seq Mock 20 min Cort|mouse mammary cells	Brs@ 3134
C2C12|Myoblast|Myoblast	Myo@ C2C12
B6xCAST F1 Hybrid|testis|testis	Gon@ Testis
C57BL/6|C57BL/6_liver_old_Foxa2_ChIP-seq|liver	Liv@ Liver
C57BL/6|C57BL/6_liver_young_Foxa2_ChIP-seq|liver	Liv@ Liver
C57BL/6|Forebrain	Neu@ Forebrain
C57BL/6|liver	Liv@ Liver
miwi2HET_SomaticCellsTestis_MACS_inputDNA|testicular somatic cells, MACS-sorted	Gon@ Testicular somatic cells
thymocytes, blt/blt, Zfp335/NIF1 ChIP|total thymocytes	Bld@ Thymocytes
3T3-L1|3T3-L1_GPS2	EmF@ 3T3-L1
Heart|heart	CDV@ Heart
SRC-2OE/+ prostate|Prostate	Prs@ Prostate
Balb/C|HC11|Mammary epithelial cells	Brs@ Mammary epithelial cells
mESCs	PSC@ Embryonic Stem Cells
Suz12GT|ES cells|ES cells	PSC@ Embryonic Stem Cells
CD-1|liver|P56	Liv@ Liver
CD-1|liver|P21	Liv@ Liver
CD-1|liver|P7	Liv@ Liver
CD-1|liver|P0	Liv@ Liver
CD-1|liver|E17.5	Emb@ Embryobic liver
CD-1|liver|E14.5	Emb@ Embryobic liver
CD-1|liver|E11.5	Emb@ Embryobic liver
CD-1|heart|P56	CDV@ Heart
CD-1|heart|P21	CDV@ Heart
CD-1|heart|P7	CDV@ Heart
CD-1|heart|P0	CDV@ Heart
CD-1|heart|E17.5	Emb@ Embryonic heart
CD-1|heart|E14.5	Emb@ Embryonic heart
CD-1|forebrain|P21	Neu@ Forebrain
CD-1|forebrain|P7	Neu@ Forebrain
CD-1|forebrain|P0	Neu@ Forebrain
CD-1|forebrain|E17.5	Emb@ Embryonic brains
CD-1|forebrain|E14.5	Emb@ Embryonic brains
C57BL/6|AR_wt|caput epididymis	Gon@ Epididymis
MC3T3|calvaria	Bon@ MC3T3-E1
BV-2|C57BL/6|Microglia	Neu@ BV-2
CD1|round spermatid|adult	Gon@ Spermatids
C57BL|E15.5 WT kidney	Emb@ Embryonic kidney
C57BL/6 x Sv129|Liver|Liver	Liv@ Liver
astrocyte|astrocyte	Neu@ Astrocytes
FVBN|microdissected tissue|brain	Neu@ Brain
C57BL/6|atria|atria	CDV@ Heart Atria
NIH3T3 fibroblasts|NIH3T3_POLIIS5P_UO	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_POLIIS5P_15	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_POLIIS5P_03	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_POLIIS2P_UO	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_POLIIS2P_15	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_POLIIS2P_03	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_8WG16_LAT	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_8WG16_15	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_SRF_15	EmF@ NIH/3T3
NIH3T3 fibroblasts|NIH3T3_SRF_03	EmF@ NIH/3T3
Embryonic_Stem_Cell	PSC@ Embryonic Stem Cells
C3H|48-hours differentiated Myotubes	Myo@ Myotube
C57BL/6J|WT_brain_116HG_ChIRP-seq|brain	Neu@ Brain
C57BL/6|Thymocytes|Thymocytes|thymus	Bld@ Thymocytes
CD1|HSC|HSC|liver	Bld@ Hematopoietic Stem Cells
iWAT-derived adipocytes	Adp@ White adipocytes
C57BL/6|S2ph pol2_ChIPSeq|Liver	Liv@ Liver
C57BL/6|S5ph pol2_ChIPSeq|Liver	Liv@ Liver
C57BL/6|H3K36me3_ChIPSeq|Liver	Liv@ Liver
E14|differentiating murine hematopoietic cells|progenitors	Bld@ Hematopoietic Stem Cells
Macrophages|macrophage	Bld@ Macrophages
B10.F-H2pb1/(13R)J X B11.S-H2t4/(9R)/J|Anti-DMC1 F1_testis_SSDS|testis	Gon@ Testis
B6CBAF1/J|Forebrain cells|forebrain cells	Neu@ Forebrain
Cast/EiJ x 129X1/SvJ|Frontal cortex	Neu@ Frontal cortex
129X1/SvJ x Cast/EiJ|Frontal cortex	Neu@ Frontal cortex
R1|mouse ES cells|ES cells	PSC@ Embryonic Stem Cells
C57BL/6|cerebellum	Neu@ Cerebellum
mES	PSC@ Embryonic Stem Cells
3T3-L1|adipocyte	EmF@ 3T3-L1
d15 Oocytes	Gon@ Oocytes
EB5|129/Ola	PSC@ Embryonic Stem Cells
primary Rag2 -/- thymocytes|primary Rag2 -/- thymocytes	Bld@ Thymocytes
G1ME|G1ME cells|GATA1-deficient cell line with megakaryocyte and erythrocyte differentiation potential	Bld@ G1ME
3T3-L1|D2_V5_Fbxl10-1_peaks	EmF@ 3T3-L1
3T3-L1|D2_RING1B_Fbxl10_Exp.2	EmF@ 3T3-L1
3T3-L1|D2_RING1B_Fbxl10_Exp.1	EmF@ 3T3-L1
3T3-L1|D2_RING1B_dFbox_Exp.2	EmF@ 3T3-L1
3T3-L1|D2_RING1B_dFbox_Exp.1	EmF@ 3T3-L1
3T3-L1|D2_RING1B_Empty_Exp.2	EmF@ 3T3-L1
3T3-L1|D2_RING1B_Empty_Exp.1	EmF@ 3T3-L1
RAW264.7|input_LPS(120')	Bld@ RAW 264.7
RAW264.7|input_unstimulated	Bld@ RAW 264.7
RAW264.7|H3K18Cr_LPS(120')	Bld@ RAW 264.7
RAW264.7|H3K18Cr_unstimulated	Bld@ RAW 264.7
RAW264.7|H3K18Ac_LPS(120')	Bld@ RAW 264.7
RAW264.7|H3K18Ac_unstimulated	Bld@ RAW 264.7
limbs|E11.5	Emb@ Embryonic limb
C57BL/6|mouse saline NAc ChIP input|nucleus accumbens	Neu@ Nucleus Accumbens
C57BL/6|mouse cocaine NAc ChIP input|nucleus accumbens	Neu@ Nucleus Accumbens
P5424|P5424 H3K4me3 (KM)	Bld@ P5424
P5424|P5424 H3K4me3 (DMSO)	Bld@ P5424
P5424|P5424 H3K4me2 (KM)	Bld@ P5424
P5424|P5424 H3K4me2 (DMSO)	Bld@ P5424
P5424|P5424 H3K4me1 (KM)	Bld@ P5424
P5424|P5424 H3K4me1 (DMSO)	Bld@ P5424
P5424|P5424 RNA Pol II (KM)	Bld@ P5424
P5424|P5424 RNA Pol II (DMSO)	Bld@ P5424
mESC|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	PSC@ mESC derived mesodermal cells
SclKO-iScl mESC|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells|SclKO-iScl ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	PSC@ mESC derived mesodermal cells
D3|ES cells treated with TSA, Sox2 ChIP|embryonic stem cells	PSC@ Embryonic Stem Cells
pancreatic beta cell line|Min6b1 cells	Pan@ MIN6B1
pancreatic beta cell line|3HA-Rfx6 transfected Min6b1 cells	Pan@ MIN6B1
G1E_BRD3 +GATA1|GATA1 null erythroblasts (G1E)	Bld@ Erythroblasts
G1E_BRD3 G1E|GATA1 null erythroblasts (G1E)	Bld@ Erythroblasts
C57BL/6|MC_A12_pDC_sh-Irf8_K4me1|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|MC_A10_cDC_sh-Cebpb_K4me1|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|MC_A11_pDC_sh-control_K4me1|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|MC_A09_cDC_sh-control_K4me1|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|pdc_cebpb|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|cdc_cebpb|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|pdc_irf8|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|cdc_irf8|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|Sample_MC_12_pDC_pu1|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|Sample_MC_05_cDC_pu1|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|05_MC_in_vivo_pDC_K27Ac_1|mPDCA+ splenic cells|spleen	Bld@ Dendritic Cells
C57BL/6|03_MC_moDC_K27Ac_1|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|01_MC_moDC_K27Ac_1|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|pdc_k4me3|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|cdc_k4me3|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|Sample_MC_16_InVivo_pDC_K4me1|mPDCA+ splenic cells|spleen	Bld@ Dendritic Cells
C57BL/6|pdc_k4me1|pDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|cdc_k4me1|moDC|Bone marrow	Bld@ Dendritic Cells
C57BL/6|primary MEFs|Mouse Embryonic Fibroblast (MEF)	EmF@ MEF
Splenic B cells, Input	Bld@ B-Lymphocytes
Splenic B cells, miR-155 KO, PU.1 IP	Bld@ B-Lymphocytes
Splenic B cells, PU.1 KI, PU.1 IP	Bld@ B-Lymphocytes
Splenic B cells, Wild type, PU.1 IP	Bld@ B-Lymphocytes
B6CBAF1/J|Junction E10.5|Junction cells	Emb@ Maxillary arch junction
B6CBAF1/J|Maxillary arch E10.5|Maxillary arch cells	Emb@ Maxillary arch
Suz12GT|129/Ola|differentiated cells (ESCs were subjected to Spinal motor Neuron in vitro directed differentiation)|ESC-derived Spinal Motor Neuron lineage Cells	PSC@ mESC derived neural cells
Suz12GT|129/Ola|ES cells|ESCs	PSC@ Embryonic Stem Cells
E14|V6.5 (129SvJaexC57BL/6)|differentiated cells (ESCs were subjected to Spinal motor Neuron in vitro directed differentiation)|ESC-derived Spinal Motor Neuron lineage Cells	PSC@ mESC derived neural cells
E14|V6.5 (129SvJaexC57BL/6)|ES cells|ESCs	PSC@ Embryonic Stem Cells
3134|CTCF ChIP-Seq 0 min Cort|mouse mammary cells	Brs@ 3134
3134|Input Pol II|mouse mammary cells	Brs@ 3134
3134|Pol II ChIP-Seq 60 min Cort Constant|mouse mammary cells	Brs@ 3134
3134|Pol II ChIP-Seq 60 min Cort Pulsed|mouse mammary cells	Brs@ 3134
3134|Pol II ChIP-Seq 20 min Cort|mouse mammary cells	Brs@ 3134
3134|Pol II ChIP-Seq 0 min Cort|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq input 60 min Cort Constant|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq input 60 min Cort Pulsed|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq input 20 min Cort|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq input 0 min Cort|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq 60 min Cort Constant|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq 60 min Cort Pulsed|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq 20 min Cort|mouse mammary cells	Brs@ 3134
3134|GR ChIP-Seq 0 min Cort|mouse mammary cells	Brs@ 3134
416B expressing HA-T-VP64-PU.1-14|Mouse myeloid progenitor cell line	Bld@ 416B
416B WT control|Mouse myeloid progenitor cell line	Bld@ 416B
Neuro-2a|Input|neuroblastoma	Neu@ Neuro-2a
Neuro-2a|dCas9-noED + control gRNA|neuroblastoma	Neu@ Neuro-2a
Neuro-2a|dCas9-KRAB + S2 gRNA|neuroblastoma	Neu@ Neuro-2a
Neuro-2a|dCas9-KRAB + S1 gRNA|neuroblastoma	Neu@ Neuro-2a
VEC_Input|mouse embryonic fibroblasts	EmF@ MEF
VEC_H3K9ac|mouse embryonic fibroblasts	EmF@ MEF
CRE_Input|mouse embryonic fibroblasts	EmF@ MEF
CRE_H3K9ac|mouse embryonic fibroblasts	EmF@ MEF
C57BL6J|Mouse e14.5 Embryonic Cortex|Embryonic Cortex|Embryonic Day e14.6	Emb@ Embryonic brains
J1|mouse embryonic stem cell|mouse embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6|cerebral cortex|cerebral cortex|Postnatal day 60 (P60)	Neu@ Cerebellar Cortex
C57BL/6|liver tissue|liver|Adult	Liv@ Liver
C57BL/6|kidney tissue|kidney|Adult	Kid@ Kidney
C57BL/6|heart tissue|heart|Adult	CDV@ Heart
C57BL/6|cultured cerebellar granule neurons|cultured cerebellar granule neurons|GNP + 3 DIV	Neu@ Cerebellar granule neurons
somatic gonadal cells|SSEA1- gonadal somatic cells	Emb@ Gonadal somatic cells
C57BL/6J (wild type)|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper17 cells for 3 days	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|CD4+ cells, Foxo1tagBirA mice|CD4+, Foxo1tagBirA strepdavidin Input	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|CD4+ cells|CD4+, Foxo1 Ab Input	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|CD4+ cells, Foxo1tagBirA mice|CD4+, Foxo1tagBirA strepdavidin ChIP	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|CD4+ cells|CD4+, Foxo1 Ab, ChIP	Bld@ CD4-Positive T-Lymphocytes
Dmrt6 ChIP|testis|adult	Gon@ Testis
Input|testis|adult	Gon@ Testis
embryonic stem cells, TC11, empty vector, input	PSC@ Embryonic Stem Cells
C57BL/6|dendritic cells, D1 curdlan + Fk506 Input|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, D1 curdlan+Fk506 2h H3K4me3|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, D1 curdlan Input|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, D1 curdlan 2h H3K4me3|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, D1 NT Input|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, D1 NT H3K4me3|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, NFAT1 curdlan Input|splenic long term dendritic cells	Bld@ Dendritic Cells
C57BL/6|dendritic cells, NFAT1 curdlan V5|splenic long term dendritic cells	Bld@ Dendritic Cells
OG2/129SV|mouse embryonic pluripotent stem cells	PSC@ Embryonic Stem Cells
OG2/129SV|mouse reprogramming intermediates at Day8	PSC@ iPS cells
OG2/129SV|mouse reprogramming intermediates at Day5	PSC@ iPS cells
No doxycycline treated iER71, ES cell|embryonic stem cell	PSC@ Embryonic Stem Cells
iPSC OSK9|reprogramming from MEF cell	PSC@ iPS cells
iPSC OSK2|reprogramming from MEF cell	PSC@ iPS cells
iPSC OSK4|reprogramming from MEF cell	PSC@ iPS cells
mixed Sv129/C57Bl/6 (H2b) background|Rfx5-/- T-cells|T-cells	Bld@ T-Lymphocytes
C57Bl/6 (H2b) background|Nlrc5-/- T-cells|T-cells	Bld@ T-Lymphocytes
C57Bl/6 (H2b) background|Nlrc5F/F T-cells|T-cells	Bld@ T-Lymphocytes
B6|limb buds	Emb@ Embryonic limb
C57/BL6|liver|liver	Liv@ Liver
miwi2KO_GermCellsTestis_MACS_H3|testicular germ cells, MACS-sorted	Gon@ Testicular germ cells
miwi2HET_GermCellsTestis_MACS_H3|testicular germ cells, MACS-sorted	Gon@ Testicular germ cells
miwi2KO_GermCellsTestis_FACS_H3K9me3|testicular germ cells, FACS - sorted	Gon@ Testicular germ cells
miwi2KO_GermCellsTestis_FACS_inputDNA|testicular germ cells, FACS - sorted	Gon@ Testicular germ cells
miwi2HET_GermCellsTestis_FACS_H3K9me3|testicular germ cells, FACS - sorted	Gon@ Testicular germ cells
miwi2HET_GermCellsTestis_FACS_inputDNA|testicular germ cells, FACS - sorted	Gon@ Testicular germ cells
NIH3T3|Fibroblasts	EmF@ NIH/3T3
Hoxa9/Meis1-transformed HSCs_input|hematopoietic progenitor cells|bone marrow	Bld@ Hematopoietic Stem Cells
thymocytes, blt/blt, input|total thymocytes	Bld@ Thymocytes
thymocytes, WT, input|total thymocytes	Bld@ Thymocytes
Sperm, PanH3 ChIP|sperm	Gon@ Sperm
Sperm, input|sperm	Gon@ Sperm
Suz12-KO|Embryonic Stem Cells	PSC@ Embryonic Stem Cells
C57BL/6-129|Embryonic stem cells|V6.5 embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|E18_Liver|liver	Emb@ Embryobic liver
Input_KO_P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
Input_WT_P22|cerebellum|Postnatal day 22	Neu@ Cerebellum
70Z/3|70Z3 ChIP-Seq H3K27Ac|lymphoblast|Pre-B	Bld@ 70Z/3
70Z/3|70Z3 ChIP-Seq H3K9Ac|lymphoblast|Pre-B	Bld@ 70Z/3
70Z/3|70Z3 ChIP-Seq H3K4Me3|lymphoblast|Pre-B	Bld@ 70Z/3
70Z/3|70Z3 ChIP-Seq Miz1|lymphoblast|Pre-B	Bld@ 70Z/3
70Z/3|70Z3 ChIP-Seq Input|lymphoblast|Pre-B	Bld@ 70Z/3
P6D4|P6D4 ChIP-Seq H3K27Ac|SCID.adh murine thymic lymphoma|DN3	Bld@ P6D4
P6D4|P6D4 ChIP-Seq H3K9Ac|SCID.adh murine thymic lymphoma|DN3	Bld@ P6D4
P6D4|P6D4 ChIP-Seq H3K4Me3|SCID.adh murine thymic lymphoma|DN3	Bld@ P6D4
P6D4|P6D4 ChIP-Seq Miz1|SCID.adh murine thymic lymphoma|DN3	Bld@ P6D4
P6D4|P6D4 ChIP-Seq Input|SCID.adh murine thymic lymphoma|DN3	Bld@ P6D4
129 X C57bl/6|embryonic fibroblasts|Wild type MEF cells	EmF@ MEF
129 X C57bl/6|Embryonic Stem Cells|Parental mouse ES(KH2) cells	PSC@ Embryonic Stem Cells
Arf / MEFs|ChIPseq WT WCE|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|ChIPseq WT IP|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|dmCas9-ChIPseq sgRNA p53-3 WCE|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|dmCas9-ChIPseq sgRNA p53-3 IP|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|dmCas9-ChIPseq No sgRNA WCE|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|dmCas9-ChIPseq sgRNA p53-1 WCE|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|dmCas9-ChIPseq No trgRNA IP|mouse embryonic fibroblasts	EmF@ MEF
Arf / MEFs|dmCas9-ChIPseq sgRNA p53-1 IP|mouse embryonic fibroblasts	EmF@ MEF
embryonic stem cells, 75 uM DRB, 10 h|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6J|mES	PSC@ Embryonic Stem Cells
C57BL/6J|mESC	PSC@ Embryonic Stem Cells
C5|Mouse Embryonic Fibroblasts|Mouse Embryonic Fibroblasts	EmF@ MEF
129S1 X 129S1|SV40T transformed fibroblasts|IATRX Knock down (shATRX) Xist transgenic (X+P) cells	EmF@ MEF
3T3-L1|ChIP-seq, 3T3-L1 adipocyte FOSL2 untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte JUND untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte ATF2 untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte CEBPb untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte CEBPa untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte NCOR rosi treated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte NCOR untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte p300 rosi treated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte p300 untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte CBP rosi treated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte CBP untreated	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte MED1 rosi treated, replicate 2	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte MED1 untreated, replicate 2	EmF@ 3T3-L1
3T3-L1|3T3-L1 adipocyte input	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte MED1 rosi treated, replicate 1	EmF@ 3T3-L1
3T3-L1|ChIP-seq, 3T3-L1 adipocyte MED1 untreated, replicate 1	EmF@ 3T3-L1
FVB/N|mock ChIP from spermatocytes heat shocked at 43C|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|mock ChIP from spermatocytes heat shocked at 38C|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|mock ChIP from untreated spermatocytes|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|HSF2 ChIP DNA from spermatocytes heat shocked at 43C|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|HSF2 ChIP DNA from spermatocytes heat shocked at 38C|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|HSF2 ChIP DNA from untreated spermatocytes|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|HSF1 ChIP DNA from spermatocytes heat shocked at 43C|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|HSF1 ChIP DNA from spermatocytes heat shocked at 38C|spermatocytes|testis|adult	Gon@ Spermatocytes
FVB/N|HSF1 ChIP DNA from untreated spermatocytes|spermatocytes|testis|adult	Gon@ Spermatocytes
WT 8 days after dox induction|Embryonic Fibroblast Cells (MEF)	PSC@ iPS cells
C57BL/6|KO MEF_input|primary mouse embryonic fibroblasts	EmF@ MEF
C57BL/6|KO MEF_IP|primary mouse embryonic fibroblasts	EmF@ MEF
C57BL/6|WT MEF_input|primary mouse embryonic fibroblasts	EmF@ MEF
C57BL/6|WT MEF_IP|primary mouse embryonic fibroblasts	EmF@ MEF
J1|DNMT triple knockout ESCs|ESCs	PSC@ Embryonic Stem Cells
C57BL/6|iTreg cells|iTreg cells	Bld@ T-Lymphocytes, Regulatory
C57BL/6|EL4 cells|Flag-tagged RORt-expressing EL-4 cells	Bld@ EL4
HBG3 clone|EB-Motor neuron, WT, IgG control ChIP|EB-Motor neuron	PSC@ mESC derived neural cells
HBG3 clone|EB-Motor neuron, WT, TAF9B ChIP|EB-Motor neuron	PSC@ mESC derived neural cells
HBG3 clone|EB-Motor neuron, WT, RNA Pol2  ChIP|EB-Motor neuron	PSC@ mESC derived neural cells
p30-GMP-blast cells, Biological repl_III, H3K4me3 ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
p30-GMP-blast cells, Biological repl_II, H3K4me3 ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
p30-GMP-blast cells, Biological repl_II, H3K27me3 ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
p30-GMP-blast cells, Biological repl_I, H3K27me3 ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
p30-GMP-blast cells, Biological repl_II, CEBPA ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
p30-GMP-blast cells, Biological repl_I, CEBPA ChIP|tertiary transplanted leukemia, whole bone marrow, cKIT enriched, FACs isolated	Bld@ Bone Marrow Cells
129/B6|cell line	Unc@ Unclassified
Swiss 3T3|RNAPIIS2ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS2ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS2ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS2ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS5ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS5ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS5ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|RNAPIIS5ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K4me3, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K4me3, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K4me3, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K4me3, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K9ac, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K9ac, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K9ac, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 2|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3K9ac, Serum-starved (72h)  Swiss 3T3 fibroblasts, replicate 1|fibroblasts	EmF@ 3T3-Swiss
Swiss 3T3|H3S28ph, Serum-starved (72h)  Swiss 3T3 fibroblasts, 1h anisomycin treated (188.5 nM), replicate 2|fibroblasts	EmF@ 3T3-Swiss
