NoAb	NoD@ NA
H3K79me2_(Abcam_ab3594_lot_1).L3 Input expt.2330	InP@ Input control
H3K79me1_(Abcam_lot_1).L3 ChIP expt.2347	His@ H3K79me1
H3K79me1_(Abcam_lot_1).L3 ChIP expt.2346	His@ H3K79me1
H3K79me1_(Abcam_lot_1).L3 Input expt.2331	InP@ Input control
H3K79me1_(Abcam_lot_1).L3 Input expt.2330	InP@ Input control
H3K4me3_(ab8580_lot_2).L3 ChIP expt.2337	His@ H3K4me3
H3K4me3_(ab8580_lot_2).L3 ChIP expt.2336	His@ H3K4me3
H3K4me3_(ab8580_lot_2).L3 Input expt.2331	InP@ Input control
H3K4me3_(ab8580_lot_2).L3 Input expt.2330	InP@ Input control
H3K27me3_(Abcam_lot3).L3 ChIP expt.2343	His@ H3K27me3
H3K27me3_(Abcam_lot3).L3 ChIP expt.2342	His@ H3K27me3
H3K27me3_(Abcam_lot3).L3 Input expt.2331	InP@ Input control
H3K27me3_(Abcam_lot3).L3 Input expt.2330	InP@ Input control
H3K27me1_(Millipore).L3 ChIP expt.2339	His@ H3K27me1
H3K27me1_(Millipore).L3 ChIP expt.2338	His@ H3K27me1
H3K27me1_(Millipore).L3 Input expt.2331	InP@ Input control
H3K27me1_(Millipore).L3 Input expt.2330	InP@ Input control
H3K27ac_(Active_Motif).L3 ChIP expt.2345	His@ H3K27ac
H3K27ac_(Active_Motif).L3 ChIP expt.2344	His@ H3K27ac
H3K27ac_(Active_Motif).L3 Input expt.2331	InP@ Input control
H3K27ac_(Active_Motif).L3 Input expt.2330	InP@ Input control
H2B-ubiq_(NRO3).L3 ChIP expt.2519	His@ H2Bub
H2B-ubiq_(NRO3).L3 ChIP expt.2518	His@ H2Bub
H2B-ubiq_(NRO3).L3 Input expt.2404	InP@ Input control
H2B-ubiq_(NRO3).L3 Input expt.2402	InP@ Input control
none|S2 cells without transfection	InP@ Input control
anti-V5 (Invitrogen)|S2 cells transfected with pMT5.1- DSXM-V5-His B	Oth@ Epitope tags
anti-V5 (Invitrogen)|S2 cells transfected with pMT5.1- DSXF -V5-His B	Oth@ Epitope tags
input|12-14 hour old embryos svb::GFP	InP@ Input control
anti-Rpb3 (gift of Karen Adelman, Adelman et al. Mol Cell 2005)|Rpb3-bound DNA|Ovarian Somatic Cells (OSC), ChIPseq_Rpb3r_siDmGtsf1	Pol@ RpII33
total DNA|Ovarian Somatic Cells (OSC), ChIPseq_inputr_siDmGtsf1	InP@ Input control
anti-H3K9me3 (abcam, catalog #ab8898, lot/batch #943260)|H3K9m3-bound DNA|Ovarian Somatic Cells (OSC), ChIPseq_H3K9m3r_siDmGtsf1	His@ H3K9me3
RLPII_phospho2_ab5095.Clone_8 ChIP expt.2464	Pol@ RNA polymerase II
RLPII_phospho2_ab5095.Clone_8 ChIP expt.2463	Pol@ RNA polymerase II
RLPII_phospho2_ab5095.Clone_8 Input expt.2434	InP@ Input control
RLPII_phospho2_ab5095.Clone_8 Input expt.2433	InP@ Input control
RPLII_ab5408.Kc ChIP expt.2458	Pol@ RNA polymerase II
RPLII_ab5408.Kc ChIP expt.2457	Pol@ RNA polymerase II
RPLII_ab5408.Kc Input expt.2432	InP@ Input control
RPLII_ab5408.Kc Input expt.2431	InP@ Input control
HP1b_(Henikoff).L3 ChIP expt.2252	Oth@ HP1b
HP1b_(Henikoff).L3 ChIP expt.2251	Oth@ HP1b
HP1b_(Henikoff).L3 Input expt.2224	InP@ Input control
HP1b_(Henikoff).L3 Input expt.2222	InP@ Input control
H3K9ac.L3 ChIP expt.2411	His@ H3K9ac
H3K9ac.L3 ChIP expt.2410	His@ H3K9ac
H3K9ac.L3 Input expt.2226	InP@ Input control
H3K9ac.L3 Input expt.2225	InP@ Input control
H1.L3 ChIP expt.2399	Oth@ H1
H1.L3 ChIP expt.2398	Oth@ H1
H1.L3 Input expt.2404	InP@ Input control
H1.L3 Input expt.2402	InP@ Input control
dSFMBT_Q2642.L3 ChIP expt.2426	Oth@ Sfmbt
dSFMBT_Q2642.L3 ChIP expt.2425	Oth@ Sfmbt
dSFMBT_Q2642.L3 Input expt.2331	InP@ Input control
dSFMBT_Q2642.L3 Input expt.2330	InP@ Input control
anti-Pol II antibody 8WG16|CG3893-KD_PolII ChIP-seq	Pol@ RNA polymerase II
anti-Pol II antibody 8WG16|Mael-KD_PolII ChIP-seq	Pol@ RNA polymerase II
anti-Pol II antibody 8WG16|Piwi-KD_PolII ChIP-seq	Pol@ RNA polymerase II
anti-Pol II antibody 8WG16|EGFP-KD_PolII ChIP-seq	Pol@ RNA polymerase II
H3K36me2 W OR Head Nuc ChIP expt.2395	His@ H3K36me2
H3K36me2 W OR Head Nuc ChIP expt.2394	His@ H3K36me2
H3K36me2 W OR Head Nuc Input expt.2306	InP@ Input control
H3K36me2 W OR Head Nuc Input expt.2305	InP@ Input control
H3K36me2 W 14-16 hr OR Emb ChIP expt.2397	His@ H3K36me2
H3K36me2 W 14-16 hr OR Emb ChIP expt.2396	His@ H3K36me2
H3K36me2 W 14-16 hr OR Emb Input expt.2308	InP@ Input control
H3K36me2 W 14-16 hr OR Emb Input expt.2307	InP@ Input control
Su var 3-7-Q3448 OR Head Nuclei ChIP expt.2220	Oth@ Su(var)3-7
Su var 3-7-Q3448 OR Head Nuclei ChIP expt.2219	Oth@ Su(var)3-7
Su var 3-7-Q3448 OR Head Nuclei Input expt.2188	InP@ Input control
Su var 3-7-Q3448 OR Head Nuclei Input expt.2187	InP@ Input control
RPD3 Q3451 OR Head Nuc ChIP expt.2418	Oth@ Rpd3
RPD3 Q3451 OR Head Nuc ChIP expt.2413	Oth@ Rpd3
RPD3 Q3451 OR Head Nuc Input expt.2415	InP@ Input control
RPD3 Q3451 OR Head Nuc Input expt.2183	InP@ Input control
POF MO 459 OR Head Nuc ChIP expt.2204	Oth@ Pof
POF MO 459 OR Head Nuc ChIP expt.2203	Oth@ Pof
POF MO 459 OR Head Nuc Input expt.2188	InP@ Input control
POF MO 459 OR Head Nuc Input expt.2187	InP@ Input control
LSD1 Q3430 L3 Nuc ChIP expt.2500	Oth@ Su(var)3-3
LSD1 Q3430 L3 Nuc ChIP expt.2499	Oth@ Su(var)3-3
LSD1 Q3430 L3 Nuc Input expt.2494	InP@ Input control
LSD1 Q3430 L3 Nuc Input expt.2493	InP@ Input control
JMJD2A-KDM4A Q2541 OR Head Nuc ChIP expt.2315	Oth@ Kdm4A
JMJD2A-KDM4A Q2541 OR Head Nuc ChIP expt.2314	Oth@ Kdm4A
JMJD2A-KDM4A Q2541 OR Head Nuc Input expt.2271	InP@ Input control
JMJD2A-KDM4A Q2541 OR Head Nuc Input expt.2270	InP@ Input control
HP2 Ab2-90 OR Head Nuc ChIP expt.2194	Oth@ Su(var)2-HP2
HP2 Ab2-90 OR Head Nuc ChIP expt.2193	Oth@ Su(var)2-HP2
HP2 Ab2-90 OR Head Nuc Input expt.2188	InP@ Input control
HP2 Ab2-90 OR Head Nuc Input expt.2187	InP@ Input control
HP1 wa191 OR Head Nuc ChIP expt.2218	Oth@ Su(var)205
HP1 wa191 OR Head Nuc ChIP expt.2217	Oth@ Su(var)205
HP1 wa191 OR Head Nuc Input expt.2212	InP@ Input control
HP1 wa191 OR Head Nuc Input expt.2211	InP@ Input control
HP1c MO 462 OR Head Nuclei D.melanogaster ChIP expt.2198	Oth@ HP1c
HP1c MO 462 OR Head Nuclei D.melanogaster ChIP expt.2197	Oth@ HP1c
HP1c MO 462 OR Head Nuclei D.melanogaster Input expt.2188	InP@ Input control
HP1c MO 462 OR Head Nuclei D.melanogaster Input expt.2187	InP@ Input control
HP1b Q4114 OR Head Nuc ChIP expt.2196	Oth@ HP1b
HP1b Q4114 OR Head Nuc ChIP expt.2195	Oth@ HP1b
HP1b Q4114 OR Head Nuc Input expt.2188	InP@ Input control
HP1b Q4114 OR Head Nuc Input expt.2187	InP@ Input control
H3K79me3 Abcam ab2621 lot 1 14-16 hr OR Emb ChIP expt.2548	His@ H3K79me3
H3K79me3 Abcam ab2621 lot 1 14-16 hr OR Emb ChIP expt.2547	His@ H3K79me3
H3K79me3 Abcam ab2621 lot 1 14-16 hr OR Emb Input expt.2471	InP@ Input control
H3K79me3 Abcam ab2621 lot 1 14-16 hr OR Emb Input expt.2470	InP@ Input control
H3K9acS10P new lot OR Head Nuc ChIP expt.2202	His@ H3K9ac
H3K9acS10P new lot OR Head Nuc ChIP expt.2201	His@ H3K9ac
H3K9acS10P new lot OR Head Nuc Input expt.2188	InP@ Input control
H3K9acS10P new lot OR Head Nuc Input expt.2187	InP@ Input control
HP1c MO 462 14-16 hr OR Emb ChIP expt.2541	Oth@ HP1c
HP1c MO 462 14-16 hr OR Emb ChIP expt.2032	Oth@ HP1c
HP1c MO 462 14-16 hr OR Emb Input expt.2471	InP@ Input control
HP1c MO 462 14-16 hr OR Emb Input expt.2024	InP@ Input control
H3K79me3 Abcam ab2621 lot 1 OR Head Nuc ChIP expt.2373	His@ H3K79me3
H3K79me3 Abcam ab2621 lot 1 OR Head Nuc ChIP expt.2372	His@ H3K79me3
H3K79me3 Abcam ab2621 lot 1 OR Head Nuc Input expt.2353	InP@ Input control
H3K79me3 Abcam ab2621 lot 1 OR Head Nuc Input expt.2352	InP@ Input control
H3K79me2 Abcam ab3594 lot 1 OR Head Nuc ChIP expt.2371	His@ H3K79me2
H3K79me2 Abcam ab3594 lot 1 OR Head Nuc ChIP expt.2370	His@ H3K79me2
H3K79me2 Abcam ab3594 lot 1 OR Head Nuc Input expt.2353	InP@ Input control
H3K79me2 Abcam ab3594 lot 1 OR Head Nuc Input expt.2352	InP@ Input control
H3K79me1 Abcam lot 1 OR Head Nuc ChIP expt.2369	His@ H3K79me1
H3K79me1 Abcam lot 1 OR Head Nuc ChIP expt.2368	His@ H3K79me1
H3K79me1 Abcam lot 1 OR Head Nuc Input expt.2353	InP@ Input control
H3K79me1 Abcam lot 1 OR Head Nuc Input expt.2352	InP@ Input control
H3K27me3 Abcam lot3 OR Head Nuc ChIP expt.2365	His@ H3K27me3
H3K27me3 Abcam lot3 OR Head Nuc ChIP expt.2364	His@ H3K27me3
H3K27me3 Abcam lot3 OR Head Nuc Input expt.2353	InP@ Input control
H3K27me3 Abcam lot3 OR Head Nuc Input expt.2352	InP@ Input control
H3K27me2 Ab24684 OR Head Nuc ChIP expt.2363	His@ H3K27me2
H3K27me2 Ab24684 OR Head Nuc ChIP expt.2362	His@ H3K27me2
H3K27me2 Ab24684 OR Head Nuc Input expt.2353	InP@ Input control
H3K27me2 Ab24684 OR Head Nuc Input expt.2352	InP@ Input control
H4K8ac OR Head Nuc ChIP expt.2300	His@ H4K8ac
H4K8ac OR Head Nuc ChIP expt.2299	His@ H4K8ac
H4K8ac OR Head Nuc Input expt.2306	InP@ Input control
H4K8ac OR Head Nuc Input expt.2305	InP@ Input control
H3K27ac Active Motif OR Head Nuc ChIP expt.2367	His@ H3K27ac
H3K27ac Active Motif OR Head Nuc ChIP expt.2366	His@ H3K27ac
H3K27ac Active Motif OR Head Nuc Input expt.2353	InP@ Input control
H3K27ac Active Motif OR Head Nuc Input expt.2352	InP@ Input control
dSFMBT Q2642 OR Head Nuc ChIP expt.2428	Oth@ Sfmbt
dSFMBT Q2642 OR Head Nuc ChIP expt.2427	Oth@ Sfmbt
dSFMBT Q2642 OR Head Nuc Input expt.2353	InP@ Input control
dSFMBT Q2642 OR Head Nuc Input expt.2352	InP@ Input control
JHDM1 Q2634 OR Head Nuc ChIP expt.2407	Oth@ Kdm2
JHDM1 Q2634 OR Head Nuc ChIP expt.2406	Oth@ Kdm2
JHDM1 Q2634 OR Head Nuc Input expt.2271	InP@ Input control
JHDM1 Q2634 OR Head Nuc Input expt.2270	InP@ Input control
LSD1 Q3430 OR Head Nuc ChIP expt.2422	Oth@ Su(var)3-3
LSD1 Q3430 OR Head Nuc ChIP expt.2421	Oth@ Su(var)3-3
LSD1 Q3430 OR Head Nuc Input expt.2271	InP@ Input control
LSD1 Q3430 OR Head Nuc Input expt.2270	InP@ Input control
HP2 Ab2-90 14-16 hr OR Emb ChIP expt.2029	Oth@ Su(var)2-HP2
HP2 Ab2-90 14-16 hr OR Emb ChIP expt.2028	Oth@ Su(var)2-HP2
HP2 Ab2-90 14-16 hr OR Emb ChIP expt.1736	Oth@ Su(var)2-HP2
HP2 Ab2-90 14-16 hr OR Emb Input expt.2025	InP@ Input control
HP2 Ab2-90 14-16 hr OR Emb Input expt.2024	InP@ Input control
HP2 Ab2-90 14-16 hr OR Emb Input expt.1733	InP@ Input control
H3K9me2 OR Head Nuc ChIP expt.2380	His@ H3K9me2
H3K9me2 OR Head Nuc ChIP expt.2200	His@ H3K9me2
H3K9me2 OR Head Nuc Input expt.2416	InP@ Input control
H3K9me2 OR Head Nuc Input expt.2188	InP@ Input control
H2AV 9751 OR Head Nuc ChIP expt.2273	His@ H2A.V
H2AV 9751 OR Head Nuc ChIP expt.2272	His@ H2A.V
H2AV 9751 OR Head Nuc Input expt.2271	InP@ Input control
H2AV 9751 OR Head Nuc Input expt.2270	InP@ Input control
H1 14-16 hr OR Emb ChIP expt.2292	Oth@ H1
H1 14-16 hr OR Emb ChIP expt.2291	Oth@ H1
H1 14-16 hr OR Emb ChIP expt.1725	Oth@ H1
H1 14-16 hr OR Emb ChIP expt.1715	Oth@ H1
H1 14-16 hr OR Emb Input expt.2308	InP@ Input control
H1 14-16 hr OR Emb Input expt.2307	InP@ Input control
H1 14-16 hr OR Emb Input expt.1730	InP@ Input control
H1 14-16 hr OR Emb Input expt.1729	InP@ Input control
ZW5 14-16 hr OR Emb ChIP expt.1966	Oth@ dwg
ZW5 14-16 hr OR Emb ChIP expt.1827	Oth@ dwg
ZW5 14-16 hr OR Emb Input expt.1962	InP@ Input control
ZW5 14-16 hr OR Emb Input expt.1823	InP@ Input control
Su var 3-7 Q3448 L3 Nuc ChIP expt.2236	Oth@ Su(var)3-7
Su var 3-7 Q3448 L3 Nuc ChIP expt.2235	Oth@ Su(var)3-7
Su var 3-7 Q3448 L3 Nuc Input expt.2223	InP@ Input control
Su var 3-7 Q3448 L3 Nuc Input expt.2221	InP@ Input control
RPD3-Q3451 L3 Nuc ChIP expt.2232	Oth@ Rpd3
RPD3-Q3451 L3 Nuc ChIP expt.2231	Oth@ Rpd3
RPD3-Q3451 L3 Nuc Input expt.2223	InP@ Input control
RPD3-Q3451 L3 Nuc Input expt.2221	InP@ Input control
RPD3-Q3451 14-16 hr OR Emb ChIP expt.2485	Oth@ Rpd3
RPD3-Q3451 14-16 hr OR Emb ChIP expt.2484	Oth@ Rpd3
RPD3-Q3451 14-16 hr OR Emb Input expt.1734	InP@ Input control
RPD3-Q3451 14-16 hr OR Emb Input expt.1733	InP@ Input control
RNA Pol II abcam OR Head Nuc ChIP expt.2419	Pol@ RNA polymerase II
RNA Pol II abcam OR Head Nuc ChIP expt.2414	Pol@ RNA polymerase II
RNA Pol II abcam OR Head Nuc Input expt.2415	InP@ Input control
RNA Pol II abcam OR Head Nuc Input expt.2183	InP@ Input control
RNA Pol II abcam L3 Nuc ChIP expt.2412	Pol@ RNA polymerase II
RNA Pol II abcam L3 Nuc ChIP expt.2256	Pol@ RNA polymerase II
RNA Pol II abcam L3 Nuc Input expt.2226	InP@ Input control
RNA Pol II abcam L3 Nuc Input expt.2225	InP@ Input control
RNA Pol II abcam 14-16 hr OR Emb ChIP expt.2481	Pol@ RNA polymerase II
RNA Pol II abcam 14-16 hr OR Emb ChIP expt.2480	Pol@ RNA polymerase II
RNA Pol II abcam 14-16 hr OR Emb Input expt.1656	InP@ Input control
RNA Pol II abcam 14-16 hr OR Emb Input expt.1655	InP@ Input control
POF MO 459 14-16 hr OR Emb ChIP expt.1654	Oth@ Pof
POF MO 459 14-16 hr OR Emb ChIP expt.1653	Oth@ Pof
POF MO 459 14-16 hr OR Emb Input expt.1656	InP@ Input control
POF MO 459 14-16 hr OR Emb Input expt.1655	InP@ Input control
NURF301 Q2602 14-16 hr OR Emb ChIP expt.2456	Oth@ E(bx)
NURF301 Q2602 14-16 hr OR Emb ChIP expt.2455	Oth@ E(bx)
NURF301 Q2602 14-16 hr OR Emb Input expt.2308	InP@ Input control
NURF301 Q2602 14-16 hr OR Emb Input expt.2307	InP@ Input control
MOF Q4145 14-16 hr OR Emb ChIP expt.1723	Oth@ mof
MOF Q4145 14-16 hr OR Emb ChIP expt.1713	Oth@ mof
MOF Q4145 14-16 hr OR Emb Input expt.1730	InP@ Input control
MOF Q4145 14-16 hr OR Emb Input expt.1729	InP@ Input control
MBD-R2 Q4167 14-16 hr OR Emb ChIP expt.2444	Oth@ MBD-R2
MBD-R2 Q4167 14-16 hr OR Emb ChIP expt.2443	Oth@ MBD-R2
MBD-R2 Q4167 14-16 hr OR Emb Input expt.2308	InP@ Input control
MBD-R2 Q4167 14-16 hr OR Emb Input expt.2307	InP@ Input control
LSD1 Q3430 14-16 hr OR Emb ChIP expt.1749	Oth@ Su(var)3-3
LSD1 Q3430 14-16 hr OR Emb ChIP expt.1748	Oth@ Su(var)3-3
LSD1 Q3430 14-16 hr OR Emb Input expt.1658	InP@ Input control
LSD1 Q3430 14-16 hr OR Emb Input expt.1657	InP@ Input control
JHDM1 Q2634 14-16 hr OR Emb ChIP expt.2098	Oth@ Kdm2
JHDM1 Q2634 14-16 hr OR Emb ChIP expt.1664	Oth@ Kdm2
JHDM1 Q2634 14-16 hr OR Emb Input expt.1658	InP@ Input control
JHDM1 Q2634 14-16 hr OR Emb Input expt.1657	InP@ Input control
HP2 Ab2-90 L3 Nuc ChIP expt.2248	Oth@ Su(var)2-HP2
HP2 Ab2-90 L3 Nuc ChIP expt.2247	Oth@ Su(var)2-HP2
HP2 Ab2-90 L3 Nuc Input expt.2224	InP@ Input control
HP2 Ab2-90 L3 Nuc Input expt.2222	InP@ Input control
HP1b Q4114 14-16 hr OR Emb ChIP expt.2031	Oth@ HP1b
HP1b Q4114 14-16 hr OR Emb ChIP expt.2030	Oth@ HP1b
HP1b Q4114 14-16 hr OR Emb Input expt.2025	InP@ Input control
HP1b Q4114 14-16 hr OR Emb Input expt.2024	InP@ Input control
H4K20me1 4th lot 14-16 hr OR Emb ChIP expt.2496	His@ H4K20me1
H4K20me1 4th lot 14-16 hr OR Emb ChIP expt.2495	His@ H4K20me1
H4K20me1 4th lot 14-16 hr OR Emb Input expt.2471	InP@ Input control
H4K20me1 4th lot 14-16 hr OR Emb Input expt.2470	InP@ Input control
H4K16ac M OR Head Nuc ChIP expt.2304	His@ H4K16ac
H4K16ac M OR Head Nuc ChIP expt.2303	His@ H4K16ac
H4K16ac M OR Head Nuc Input expt.2306	InP@ Input control
H4K16ac M OR Head Nuc Input expt.2305	InP@ Input control
H4 14-16 hr OR Emb ChIP expt.2475	His@ H4
H4 14-16 hr OR Emb ChIP expt.2474	His@ H4
H4 14-16 hr OR Emb Input expt.2471	InP@ Input control
H4 14-16 hr OR Emb Input expt.2470	InP@ Input control
H3K9me1 new lot 2 OR Head Nuc ChIP expt.2379	His@ H3K9me1
H3K9me1 new lot 2 OR Head Nuc ChIP expt.2378	His@ H3K9me1
H3K9me1 new lot 2 OR Head Nuc Input expt.2417	InP@ Input control
H3K9me1 new lot 2 OR Head Nuc Input expt.2416	InP@ Input control
H3K9me1 new lot 2 L3 Nuc ChIP expt.2383	His@ H3K9me1
H3K9me1 new lot 2 L3 Nuc ChIP expt.2382	His@ H3K9me1
H3K9me1 new lot 2 L3 Nuc Input expt.2420	InP@ Input control
H3K9me1 new lot 2 L3 Nuc Input expt.2227	InP@ Input control
H3K9acS10P new abcam lot L3 Nuc ChIP expt.2246	His@ H3K9ac
H3K9acS10P new abcam lot L3 Nuc ChIP expt.2245	His@ H3K9ac
H3K9acS10P new abcam lot L3 Nuc Input expt.2224	InP@ Input control
H3K9acS10P new abcam lot L3 Nuc Input expt.2222	InP@ Input control
H3K9acS10P Ab12181 lot838296 14-16 hr OR Emb ChIP expt.2023	His@ H3K9ac
H3K9acS10P Ab12181 lot838296 14-16 hr OR Emb ChIP expt.2022	His@ H3K9ac
H3K9acS10P Ab12181 lot838296 14-16 hr OR Emb Input expt.1656	InP@ Input control
H3K9acS10P Ab12181 lot838296 14-16 hr OR Emb Input expt.1655	InP@ Input control
H3K4me3 ab8580 lot 2 OR Head Nuc ChIP expt.2359	His@ H3K4me3
H3K4me3 ab8580 lot 2 OR Head Nuc ChIP expt.2358	His@ H3K4me3
H3K4me3 ab8580 lot 2 OR Head Nuc Input expt.2353	InP@ Input control
H3K4me3 ab8580 lot 2 OR Head Nuc Input expt.2352	InP@ Input control
H3K4me3 ab8580 lot 2 14-16 hr OR Emb ChIP expt.1977	His@ H3K4me3
H3K4me3 ab8580 lot 2 14-16 hr OR Emb ChIP expt.1960	His@ H3K4me3
H3K4me3 ab8580 lot 2 14-16 hr OR Emb Input expt.1962	InP@ Input control
H3K4me3 ab8580 lot 2 14-16 hr OR Emb Input expt.1815	InP@ Input control
H3K4me2-Active motif OR Head Nuc ChIP expt.2357	His@ H3K4me2
H3K4me2-Active motif OR Head Nuc ChIP expt.2356	His@ H3K4me2
H3K4me2-Active motif OR Head Nuc Input expt.2353	InP@ Input control
H3K4me2-Active motif OR Head Nuc Input expt.2352	InP@ Input control
H3K4me1 ab8895 new lot 2 OR Head Nuc ChIP expt.2355	His@ H3K4me1
H3K4me1 ab8895 new lot 2 OR Head Nuc ChIP expt.2354	His@ H3K4me1
H3K4me1 ab8895 new lot 2 OR Head Nuc Input expt.2353	InP@ Input control
H3K4me1 ab8895 new lot 2 OR Head Nuc Input expt.2352	InP@ Input control
H3K4me1 ab8895 new lot 2 L3 Nuc ChIP expt.2333	His@ H3K4me1
H3K4me1 ab8895 new lot 2 L3 Nuc ChIP expt.2332	His@ H3K4me1
H3K4me1 ab8895 new lot 2 L3 Nuc Input expt.2331	InP@ Input control
H3K4me1 ab8895 new lot 2 L3 Nuc Input expt.2330	InP@ Input control
H3K4me1 ab8895 new lot 2 14-16 hr OR Emb ChIP expt.1975	His@ H3K4me1
H3K4me1 ab8895 new lot 2 14-16 hr OR Emb ChIP expt.1958	His@ H3K4me1
H3K4me1 ab8895 new lot 2 14-16 hr OR Emb Input expt.1962	InP@ Input control
H3K4me1 ab8895 new lot 2 14-16 hr OR Emb Input expt.1815	InP@ Input control
H3K36me3 abcam OR Head Nuc ChIP expt.2302	His@ H3K36me3
H3K36me3 abcam OR Head Nuc ChIP expt.2301	His@ H3K36me3
H3K36me3 abcam OR Head Nuc Input expt.2306	InP@ Input control
H3K36me3 abcam OR Head Nuc Input expt.2305	InP@ Input control
H3K36me1 OR Head Nuc ChIP expt.2290	His@ H3K36me1
H3K36me1 OR Head Nuc ChIP expt.2289	His@ H3K36me1
H3K36me1 OR Head Nuc Input expt.2306	InP@ Input control
H3K36me1 OR Head Nuc Input expt.2305	InP@ Input control
H3K27me2 Ab24684 L3 Nuc ChIP expt.2341	His@ H3K27me2
H3K27me2 Ab24684 L3 Nuc ChIP expt.2340	His@ H3K27me2
H3K27me2 Ab24684 L3 Nuc Input expt.2331	InP@ Input control
H3K27me2 Ab24684 L3 Nuc Input expt.2330	InP@ Input control
H3K27me2 Ab24684 14-16 hr OR Emb ChIP expt.1974	His@ H3K27me2
H3K27me2 Ab24684 14-16 hr OR Emb ChIP expt.1956	His@ H3K27me2
H3K27me2 Ab24684 14-16 hr OR Emb Input expt.1961	InP@ Input control
H3K27me2 Ab24684 14-16 hr OR Emb Input expt.1823	InP@ Input control
H3K9me1 (new lot) 14-16 hr OR Emb ChIP expt.2021	His@ H3K9me1
H3K9me1 (new lot) 14-16 hr OR Emb ChIP expt.2020	His@ H3K9me1
H3K9me1 (new lot) 14-16 hr OR Emb Input expt.1656	InP@ Input control
H3K9me1 (new lot) 14-16 hr OR Emb Input expt.1655	InP@ Input control
H3K27me1 Millipore OR Head Nuc ChIP expt.2361	His@ H3K27me1
H3K27me1 Millipore OR Head Nuc ChIP expt.2360	His@ H3K27me1
H3K27me1 Millipore OR Head Nuc Input expt.2353	InP@ Input control
H3K27me1 Millipore OR Head Nuc Input expt.2352	InP@ Input control
H3K23ac 14-16 hr OR Emb ChIP expt.2483	His@ H3K23ac
H3K23ac 14-16 hr OR Emb ChIP expt.2482	His@ H3K23ac
H3K23ac 14-16 hr OR Emb Input expt.2025	InP@ Input control
H3K23ac 14-16 hr OR Emb Input expt.1913	InP@ Input control
H3K18Ac new lot 14-16 hr OR Emb ChIP expt.2490	His@ H3K18ac
H3K18Ac new lot 14-16 hr OR Emb ChIP expt.2489	His@ H3K18ac
H3K18Ac new lot 14-16 hr OR Emb Input expt.2492	InP@ Input control
H3K18Ac new lot 14-16 hr OR Emb Input expt.2491	InP@ Input control
H3 antibody3 OR Head Nuc ChIP expt.2190	His@ H3
H3 antibody3 OR Head Nuc ChIP expt.2189	His@ H3
H3 antibody3 OR Head Nuc Input expt.2188	InP@ Input control
H3 antibody3 OR Head Nuc Input expt.2187	InP@ Input control
H3 antibody3 L3 Nuc ChIP expt.2242	His@ H3
H3 antibody3 L3 Nuc ChIP expt.2241	His@ H3
H3 antibody3 L3 Nuc Input expt.2224	InP@ Input control
H3 antibody3 L3 Nuc Input expt.2222	InP@ Input control
H3 antibody3 14-16 hr OR Emb ChIP expt.2037	His@ H3
H3 antibody3 14-16 hr OR Emb ChIP expt.2036	His@ H3
H3 antibody3 14-16 hr OR Emb Input expt.2025	InP@ Input control
H3 antibody3 14-16 hr OR Emb Input expt.2024	InP@ Input control
H2B-ubiq NRO3 OR Head Nuc ChIP expt.2298	His@ H2Bub
H2B-ubiq NRO3 OR Head Nuc ChIP expt.2297	His@ H2Bub
H2B-ubiq NRO3 OR Head Nuc Input expt.2306	InP@ Input control
H2B-ubiq NRO3 OR Head Nuc Input expt.2305	InP@ Input control
H2B-ubiq NRO3 14-16 hr OR Emb ChIP expt.2505	His@ H2Bub
H2B-ubiq NRO3 14-16 hr OR Emb ChIP expt.2504	His@ H2Bub
H2B-ubiq NRO3 14-16 hr OR Emb ChIP expt.1708	His@ H2Bub
H2B-ubiq NRO3 14-16 hr OR Emb Input expt.2507	InP@ Input control
H2B-ubiq NRO3 14-16 hr OR Emb Input expt.2506	InP@ Input control
H2B-ubiq NRO3 14-16 hr OR Emb Input expt.1729	InP@ Input control
H2AV 9751 14-16 hr OR Emb ChIP expt.2473	His@ H2A.V
H2AV 9751 14-16 hr OR Emb ChIP expt.2472	His@ H2A.V
H2AV 9751 14-16 hr OR Emb ChIP expt.1706	His@ H2A.V
H2AV 9751 14-16 hr OR Emb Input expt.1707	InP@ Input control
H2AV 9751 14-16 hr OR Emb Input expt.1658	InP@ Input control
H2AV 9751 14-16 hr OR Emb Input expt.1657	InP@ Input control
H1 OR Head Nuc ChIP expt.2294	Oth@ H1
H1 OR Head Nuc ChIP expt.2293	Oth@ H1
H1 OR Head Nuc Input expt.2306	InP@ Input control
H1 OR Head Nuc Input expt.2305	InP@ Input control
dRING Q3200 14-16 hr OR Emb ChIP expt.2065	Oth@ Sce
dRING Q3200 14-16 hr OR Emb ChIP expt.1819	Oth@ Sce
dRING Q3200 14-16 hr OR Emb Input expt.2062	InP@ Input control
dRING Q3200 14-16 hr OR Emb Input expt.1815	InP@ Input control
dMi-2 Q4443 14-16 hr OR Emb ChIP expt.2448	Oth@ Mi-2
dMi-2 Q4443 14-16 hr OR Emb ChIP expt.2447	Oth@ Mi-2
dMi-2 Q4443 14-16 hr OR Emb Input expt.2308	InP@ Input control
dMi-2 Q4443 14-16 hr OR Emb Input expt.2307	InP@ Input control
CTCF 14-16 hr OR Emb ChIP expt.1967	Oth@ CTCF
CTCF 14-16 hr OR Emb ChIP expt.1825	Oth@ CTCF
