NoCell	NoD@ NA
LNCaP-1F5|AR_ChIP-seq|Prostate epithelial cells derived from metastatic prostate carcinoma	Prs@ LNCAP
AG04450|AG04450|fetal lung fibroblast|mesoderm	Lng@ AG04450
GM12801|GM12801|B-Lymphocyte, Lymphoblastoid, International HapMap Project, CEPH/Utah, Treatment: Epstein-Barr Virus transformed|mesoderm	Bld@ GM12801
K562|K562_PolII|chronic myeloid leukemia	Bld@ K-562
HUVEC|HUVEC_PolII|umbilical vein endothelial cells	CDV@ HUVEC
HepG2|HepG2_CTCF|liver carcinoma cells	Liv@ Hep G2
NHEK|normal human epidermal keratinocytes|normal human epidermal keratinocytes	Epd@ NHEK
K562|chronic myeloid leukemia|chronic myeloid leukemia	Bld@ K-562
HUVEC|umbilical vein endothelial cells|umbilical vein endothelial cells	CDV@ HUVEC
HelaS3|cervical carcinoma|cervical carcinoma	Utr@ HeLa
H1_ES|human embryonic stem cells|human embryonic stem cells	PSC@ hESC H1
NB4|NB4 cells (leukemic), ATRA, HpaII NA-Seq|leukemic cells	Bld@ NB-4
NB4|NB4 cells (leukemic), ATRA, NlaIII NA-Seq|leukemic cells	Bld@ NB-4
CUTLL1|CUTLL1: input|T lymphocyte|T lymphoblastic leukemia/lymphoma	Bld@ CUTLL1
CUTLL1|CUTLL1: RBPJ Chromatin IP|T lymphocyte|T lymphoblastic leukemia/lymphoma	Bld@ CUTLL1
CUTLL1|CUTLL1: Notch1 Chromatin IP|T lymphocyte|T lymphoblastic leukemia/lymphoma	Bld@ CUTLL1
Chromatin IP against GATA2|umbilical vein endothelial cells	CDV@ HUVEC
H7-hESC|H7-hESC|Undifferentiated human embryonic stem cells	PSC@ hESC H7
AG10803|AG10803|Adult human abdominal skin fibroblasts|mesoderm	Epd@ AG10803
HPdLF|HPdLF|Normal Human Periodontal Ligament Fibroblasts	Oth@ HPdLF
HAEpiC|HAEpiC|Human Amniotic Epithelial Cells	Oth@ HAEpiC
HMVEC-LLy|HMVEC-LLy|Normal Human Lymphatic Microvascular Endothelial Cells, Lung-Derived	CDV@ HMVEC
HMVEC-dNeo|HMVEC-dNeo|Normal Neonatal Human Microvascular Endothelial Cells (single Donnor), Dermal-Derived	CDV@ HMVEC
BE2_C|BE2_C|Human neuroblastoma|ectoderm	Neu@ BE(2)-C
HNPCEpiC|HNPCEpiC|Human Non-Pigment Ciliary Epithelial Cells	Oth@ HNPCEpiC
GM12878|GM12878|lymphoblastoid|International HapMap Project - CEPH/Utah - European Caucasion; Epstein-Barr Virus	Bld@ GM12878
AG09319|AG09319|Adult human gum tissue fibroblasts|mesoderm	Oth@ AG09319
HRGEC|HRGEC|Human Renal Glomerular Endothelial Cells|Endothelial	Kid@ HRGEC
AG09309|AG09309|Adult human toe fibroblast|mesoderm	Epd@ AG09309
HIPEpiC|HIPEpiC|Human Iris Pigment Epithelial Cells|ectoderm	Oth@ HIPEpiC
NHLF|NHLF|Normal Human Lung Fibroblasts	Lng@ NHLF
HMVEC-dBl-Ad|HMVEC-dBl-Ad|Normal Adult Human Blood Microvascular Endothelial Cells, Dermal-Derived	CDV@ HMVEC
HFF-Myc|HFF-Myc|Human Foreskin Fibroblast Cells Expressing Canine cMyc|Fibroblast	Epd@ HFF
LNCaP|LNCaP|prostate adenocarcinoma, LNCaP clone FGC was isolated in 1977 by J.S. Horoszewicz, et al., from a needle aspiration biopsy of the left supraclavicular lymph node of a 50-year-old Caucasian male (blood type B+) with confirmed diagnosis of metastatic prostate carcinoma. - ATCC. (Horoszewicz et al. LNCaP Model of Human Prostatic Carcinoma. Cancer Research 43, 1809-1818, April 1983.)|endoderm	Prs@ LNCAP
HFF|HFF|Human Foreskin Fibroblast|Fibroblast	Epd@ HFF
HMVEC-dLy-Ad|HMVEC-dLy-Ad|Normal Adult Human Blood Microvascular Endothelial Cells, Dermal-Derived	CDV@ HMVEC
BJ|BJ|Skin fibroblast The line was established from skin taken from normal foreskin. - ATCC.  (PMID: 9916803)|mesoderm	Epd@ BJ
HA-h|HA-h|Human Astrocytes-hippocampal|Astrocytic	Neu@ HA-h
SKMC|SKMC|Human Skeletal Muscle Cells|mesoderm	Myo@ SKMC
Caco-2|Caco-2|colorectal adenocarcinoma. (PMID: 1939345)	Dig@ Caco-2
HAc|HAc|Human Astrocytes-cerebellar|Astrocytic	Neu@ HAc
NH-A|NH-A|normal human astrocytes	Neu@ NH-A
AoAF|AoAF|Normal Human Aortic Adventitial Fibroblast Cells	CDV@ AoAF
A549|A549|epithelial cell line This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old Caucasian male. - ATCC, derived from a lung carcinoma tissue. (PMID: 175022)|endoderm	Lng@ A549
HGF|HGF|Human Gingival Fibroblasts	Oth@ HGF
HMVEC-dLy-Neo|HMVEC-dLy-Neo|Normal Neonatal Human Lymphatic Microvascular Endothelial Cells, Dermal-Derived	CDV@ HMVEC
HUVEC|HUVEC|Human Umbilical Vein Endothelial Cell|mesoderm	CDV@ HUVEC
HMVEC-dBl-Neo|HMVEC-dBl-Neo|Normal Neonatal Human Blood Microvascular Endothelial Cells, Dermal-Derived	CDV@ HMVEC
NHDF-Ad|NHDF-Ad|Adult Normal Human Dermal Fibroblasts	Epd@ NHDF
AG04450|AG04450|Fetal lung fibroblast|mesoderm	Lng@ AG04450
HSMM|HSMM|Normal Human Skeletal Muscle Myoblasts|mesoderm	Myo@ HSMM
HRCEpiC|HRCEpiC|Human Renal Cortical Epithelial cells (normal)|mesoderm	Kid@ HRCEpiC
NHEK|NHEK|Normal Human Epidermal Keratinocytes|ectoderm	Epd@ NHEK
HConF|HConF|Human Conjunctival Fibroblast	Oth@ HConF
RPTEC|RPTEC|Renal Proximal Tubule Epithelial Cells	Kid@ RPTEC
HMVEC-LBl|HMVEC-LBl|Normal Human Blood Microvascular Endothelial Cells, Lung-Derived	CDV@ HMVEC
U2OS|Osteosarcome cell line	Bon@ U2OS
U2OS|Osteosarcoma cell line	Bon@ U2OS
CD34+ cells from human patient with t(8:21)|AML patient bone marrow CD34+	Bld@ CD34+
LNCaP prostate cancer cells|androgen-dependent prostate cancer cells	Prs@ LNCAP
Primary Cell|Mobilized CD4 Primary Cells|None|CD4+	Bld@ CD4+
breast adenocarcinoma cell line|MCF7 cell line stably expressing HA ER E2F1 DNA binding domain mutant	Brs@ MCF-7
breast adenocarcinoma cell line|MCF7 cell line stably expressing HA ER E2F1 wild type	Brs@ MCF-7
H1|embryonic stem cells, control ChIP-seq|embryonic stem cell	PSC@ hESC H1
IMR90|IMR90 human lung fibroblasts	Lng@ IMR-90
H1|H1 human embryonic stem cells	PSC@ hESC H1
Hematopoietic Stem &amp; Progenitor Cells, RNA Pol II ChIP|CD133+ expanded umbilical cord blood (UCB) cells	Bld@ Hematopoietic Stem Cells
Hematopoietic Stem &amp; Progenitor Cells, Ikaros ChIP|CD133+ expanded umbilical cord blood (UCB) cells	Bld@ Hematopoietic Stem Cells
Hematopoietic Stem &amp; Progenitor Cells, Pu.1 ChIP|CD133+ expanded umbilical cord blood (UCB) cells	Bld@ Hematopoietic Stem Cells
Hematopoietic Stem &amp; Progenitor Cells, TAL1 ChIP|CD133+ expanded umbilical cord blood (UCB) cells	Bld@ Hematopoietic Stem Cells
NCCIT|NCCIT|embryonic carcinoma cell line	PSC@ NCCIT
Treg cells from PBMC, normal|Treg cells	Bld@ PBMC
NHEK|normal human epidermal keratinocytes	Epd@ NHEK
K562|chronic myeloid leukemia	Bld@ K-562
Leukemic T-cell line originally derived from a T-ALL patient|Leukemic T-cell	Bld@ T-ALL
CD34+CD133+ hematopoietic progenitor cells (HPCs)|CD34+CD133+ hematopoietic progenitor cells (HPCs)	Bld@ CD34 Hematopoietic stem cells
K562|K562 Cells	Bld@ K-562
GM12878|lymphoblastoid cell line	Bld@ GM12878
AML pz12 (leukemic)|hematopoietic cell|leukemic	Bld@ Leukemia, Myeloid
hiPS line PDB2lox_21|hiPS line PDB2lox_21	PSC@ iPS cells
hiPS line PDB1lox_21puro_26|hiPS line PDB1lox_21puro_26	PSC@ iPS cells
hiPS line PDB2lox_17|hiPS line PDB2lox_17	PSC@ iPS cells
hiPS line PDB1lox_17puro_5|hiPS line PDB1lox_17puro_5	PSC@ iPS cells
hiPS line 4|hiPS line 4	PSC@ iPS cells
hiPS line C1|hiPS line C1	PSC@ iPS cells
hiPS line A6|hiPS line A6	PSC@ iPS cells
hiPS line A1|hiPS line A1	PSC@ iPS cells
hES line WIBR7|hES line WIBR7	PSC@ hESC WIBR7
hES line WIBR3|hES line WIBR3	PSC@ hESC WIBR3
hES line WIBR2|hES line WIBR2	PSC@ hESC WIBR2
hES line WIBR1|hES line WIBR1	PSC@ hESC WIBR1
hES line BG03|hES line BG03	PSC@ hESC BG03
hES line BG01|hES line BG01	PSC@ hESC BG01
human fibroblast line GM|human fibroblast line GM	Bld@ Lymphoblastoid cell lines
Embyonic stem cells|pluripotent and self-renewing cells	PSC@ Embryonic Stem Cells
MCF7|MCF7 cells|human breast cancer cell	Brs@ MCF-7
GM10861|lymphoblastoid, GM10861, vitamin D|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM10861|lymphoblastoid, GM10861, unstimulated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM10855|lymphoblastoid, GM10855, vitamin D|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM10855|lymphoblastoid, GM10855, unstimulated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
Human Cultured Primary Erythroblasts|Human Cultured Primary Erythroblasts	Bld@ Erythroblasts
LnCaP - R1881 - Chromatin IP against H3K4me3	Prs@ LNCAP
LnCaP - Ethanol - Chromatin IP against H3K4me3	Prs@ LNCAP
U2OS|Chromatin IP against p53-pS46|osteosarcoma	Bon@ U2OS
U2OS|Chromatin IP against p53-pS15|osteosarcoma	Bon@ U2OS
U2OS|Chromatin IP against p53|osteosarcoma	Bon@ U2OS
U2OS|U2OS cells, ERb vector transfected with Doxycycline added and E2 treatment	Bon@ U2OS
U2OS|U2OS cells, ERb vector transfected with Doxycycline added	Bon@ U2OS
GM06990|Peripheral vein|Epstein-Barr Virus transformed lymphoblastoid	Bld@ GM06990
MCF-7 breast cancer cell line|ATCC MCF-7 cells	Brs@ MCF-7
mammosphere-derived epithelial cells from #68 patient|mammosphere-derived epithelial cells (MDECs)	Brs@ Mammosphere
mammosphere-derived epithelial cells from #67 patient|mammosphere-derived epithelial cells (MDECs)	Brs@ Mammosphere
Shef 4 cells|ES cells|ES cells	PSC@ Embryonic Stem Cells
MCF-7|breast carcinoma cell line|breast carcinoma cell line	Brs@ MCF-7
hES cell line WIBR3|hES line WIBR3 20% O2	PSC@ hESC WIBR3
hES cell line WIBR2|hES line WIBR2 20% O2	PSC@ hESC WIBR2
hES cell line WIBR1|hES line WIBR1 20% O2	PSC@ hESC WIBR1
hES cell line WIBR3|hES line WIBR3 5% O2	PSC@ hESC WIBR3
hES cell line WIBR2|hES line WIBR2 5% O2	PSC@ hESC WIBR2
hES cell line WIBR1|hES line WIBR1 5% O2	PSC@ hESC WIBR1
Rh4|Rh4, pFM2 IP|rhabdomyosarcoma	Myo@ Rh-4
CD4+ T cells|CD4+ T cells, ChIP_Seq	Bld@ CD4-Positive T-Lymphocytes
T24 bladder cancer cells|G0/G1 T24 Cells	Oth@ T24
T24 bladder cancer cells|Mitotic T24 Cells	Oth@ T24
Saos-2|p53 Saos-2 cell line|osteosarcoma	Bon@ Saos-2
Saos-2|TAp73beta Saos-2 cell line|osteosarcoma	Bon@ Saos-2
Saos-2|TAp73alpha Saos-2 cell line|osteosarcoma	Bon@ Saos-2
MCF7|MCF7|estrogen-responsive breast cancer	Brs@ MCF-7
APL cells _pz74	Bld@ Leukemia, Myeloid
MDA-MB-231|Human breast adenocarcinoma cell line	Brs@ MDA-MB-231
primary CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
CC-2538 (product number)|normal osteoblast|not applicable	Bon@ CC-2538
MCF-7|MCF-7 culture cells	Brs@ MCF-7
T47D|Breast Cancer|Breast	Brs@ T-47D
HeLa|Cervix|Adenocarcinoma|Cervix	Utr@ HeLa
MCF-7|ChIP-seq_ER_siFOXA1_E2+TNF|ER Positive Breast Cancer Cells	Brs@ MCF-7
HEK293T|HEK293T_emx1 sgRNA	Kid@ 293
HEK293T|HEK293T_none (control)	Kid@ 293
coilin-LAP HeLa|HeLa Kyoto	Utr@ HeLa
H3K27ac_ChIPseq_Human|sperm	Gon@ Sperm
H3K4me1_ChIPseq_Human|sperm	Gon@ Sperm
keratinocytes_overexpressing LACZ_differentiation medium_SNAI2-ChIPseq|Human keratinocytes	Epd@ Keratinocytes
SW480|Colon Carcinoma|Colon Carcinoma	Dig@ SW 480
AC16|p65_ChIP-seq_TNF|cardiomyocytes	CDV@ AC16
AC16|p65_ChIP-seq_Vehicle|cardiomyocytes	CDV@ AC16
HEK293T|HEK_BRD4_ChIP-seq	Kid@ 293
HEK293T|HEK_IgG_ChIP-seq	Kid@ 293
HEK293T|HEK293T|kidney	Kid@ 293
HCT116|HCT116_Input	Dig@ HCT 116
HCT116|HCT116_MeCP2	Dig@ HCT 116
IMR90|IMR90_Input	Lng@ IMR-90
Melanoma	Epd@ Melanoma
MV4;11	Bld@ MV-4-11
HuRef|Lymphoblast	Bld@ HuRef
MS4221|Lymphoblast	Bld@ MS4221
IMS13q|Lymphoblast	Bld@ IMS13q
PDNC4|Fibroblast	Oth@ PDNC-4
MKN28|MKN28|gastric cancer cell	Dig@ MKN-28
H293T|H293T	Kid@ 293
HBVSMC|HBVSMC|brain vascular smooth muscle cells.|mesoderm	Myo@ HBVSMC
MCF7|GREB1_ICI_ChIP	Brs@ MCF-7
MCF7|GREB1_ChIP	Brs@ MCF-7
MCF7|ER_ChIP	Brs@ MCF-7
WSU-DLCL2|WSU-DLCL2	Bld@ WSU-DLCL2
KARPAS-422|KARPAS-422	Bld@ KARPAS-422
Pfeiffer|Pfeiffer	Bld@ Pfeiffer
HepG2	Liv@ Hep G2
LNCaP|Human prostate cancer cells	Prs@ LNCAP
Blood|CD36|Blood|Adult	Bld@ CD36+
Blood|HSC|Blood|Adult	Bld@ Hematopoietic Stem Cells
HeLa|HeLa|epithelial	Utr@ HeLa
HCT116	Dig@ HCT 116
liver|Human Liver	Liv@ Liver
U2OS|U2OS_FOXM1_ChIP-seq|Osteosarcoma	Bon@ U2OS
Melanomas|Wm451-lu	Epd@ WM451
Peripheral blood|Monocytes	Bld@ Monocytes
IMR90|Lung fibroblast|Lung fibroblast	Lng@ IMR-90
Primary Tissue|Fetal Testes|UW|None	Gon@ Testis
UAE(leukemic)	Bld@ U-937
BE(2)-C/Tet-Off/Myc-HOXC9|BE2C/Tet-Off/HOXC9_Doxy-_6d_HOXC9_ChIP|Sympathetic nervous system|Neuroblastoma	Neu@ BE(2)-C
C4-2B|C4-2B	Bld@ C4-2
Gliobla	Neu@ Glioblastoma
U87	Neu@ U-87 MG
K562|H3K4me1_K562	Bld@ K-562
K562|K562|K562	Bld@ K-562
K562|Input ChIP-Seq K562	Bld@ K-562
Th2 cells|Th2	Bld@ Th2 Cells
HelaS3|HelaS3_PolII|cervical carcinoma	Utr@ HeLa
HelaS3|HelaS3_cMYC|cervical carcinoma	Utr@ HeLa
GM12878|GM12878_PolII|lymphoblastoid cells	Bld@ GM12878
GM12878|GM12878_cMYC|lymphoblastoid cells	Bld@ GM12878
Chromatin IP against cFOS|umbilical vein endothelial cells	CDV@ HUVEC
AG04449|AG04449|Fetal buttock/thigh fibroblast|mesoderm	Epd@ AG04449
PANC-1|PANC-1|pancreatic carcinoma. (PMID: 1140870)	Pan@ PANC-1
MCF7 (cancer)|hematopoietic cell|cancer	Brs@ MCF-7
Primary Tissue|Fetal Lung|UW|None	Lng@ Fetal lung
GM12878|lymphoblast cells	Bld@ GM12878
Rh4|Rh4, input|rhabdomyosarcoma	Myo@ Rh-4
RD|RD, pFM2 IP|rhabdomyosarcoma	Myo@ RD
K562|K562 cells|myelogenous leukaemia	Bld@ K-562
islet	Pan@ Pancreatic islets
IMR-90	Lng@ IMR-90
MDA-MB-231|epithelial	Brs@ MDA-MB-231
GM12878|lymphoblastoid	Bld@ GM12878
HEK293	Kid@ 293
androgen-dependent prostate cancer derived cell line LNCaP|prostate cell line|androgen dependent	Prs@ LNCAP
HcoEpiC|Human normal colon cell line	Dig@ Colon
501Mel-Cl8|501Mel|melanoma	Epd@ 501A
LNCaP|ChIP-seq, background control for TOP1	Prs@ LNCAP
LNCaP|ChIP-seq with BLRP-tagged TOP1, 30min treatment with 100 nM DHT	Prs@ LNCAP
LNCaP|ChIP-seq with BLRP-tagged TOP1, 30min treatment with vehicle	Prs@ LNCAP
LNCaP|ChIP-seq with MRE11, 15min treatment with 100 nM DHT	Prs@ LNCAP
LNCaP|ChIP-seq with MRE11, 0min	Prs@ LNCAP
LNCaP|ChIP-seq with AR, 1h treatment with 100 nM DHT	Prs@ LNCAP
GM12878|Lymphoblast Cell Line|EBV-infected B Lymphocytes	Bld@ GM12878
HEK 293T|HEK 293T cells_IP_treatment|non-malignant cell line	Kid@ 293
HEK 293T|HEK 293T cells_IP_control|non-malignant cell line	Kid@ 293
HEK 293T|HEK 293T cells_input_treatment|non-malignant cell line	Kid@ 293
HEK 293T|HEK 293T cells_input_control|non-malignant cell line	Kid@ 293
MCF-7|Breast adenocarcinoma	Brs@ MCF-7
MDA-MB-231|Breast adenocarcinoma	Brs@ MDA-MB-231
neural precursor cell: neuroepithelial|embryonic stem cells	PSC@ hESC derived neural cells
Ewing sarcoma cell line A673|A673 after 96 hrs shFLI1	Myo@ A-673
Ewing sarcoma cell line A673|A673 after 96 hrs shGFP	Myo@ A-673
MCF7|H3K27me3 hypoxia 24 hours	Brs@ MCF-7
MCF7|H3K27me3 hypoxia 8 hours	Brs@ MCF-7
MCF7|H3K27me3 normoxia	Brs@ MCF-7
AoSMC-Aortic Smooth Mus Cells|Aorta	CDV@ AoSMC
HG fibroblasts_INPUT|HGPS dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-HGPS1)|HGPS patient 2 (TRS-HGPS)	Epd@ Dermal fibroblast
HG fibroblasts_INPUT|HGPS dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-HGPS1)|HGPS patient 1 (TRS-HGPS)	Epd@ Dermal fibroblast
WT fibroblasts_INPUT|WT dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-WT1)|age-matched control wild-type individual 2 (TRS-WT)	Epd@ Dermal fibroblast
WT fibroblasts_INPUT|WT dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-WT1)|age-matched control wild-type individual 1 (TRS-WT)	Epd@ Dermal fibroblast
HG fibroblasts_BRD4_ChIPSeq|HGPS dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-HGPS1)|HGPS patient 2 (TRS-HGPS)	Epd@ Dermal fibroblast
HG fibroblasts_BRD4_ChIPSeq|HGPS dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-HGPS1)|HGPS patient 1 (TRS-HGPS)	Epd@ Dermal fibroblast
WT fibroblasts_BRD4_ChIPSeq|WT dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-WT1)|age-matched control wild-type individual 2 (TRS-WT)	Epd@ Dermal fibroblast
WT fibroblasts_BRD4_ChIPSeq|WT dermal fibroblasts transformed by retroviral introduction of TERT, HRAS and SV40 T antigens (TRS-WT1)|age-matched control wild-type individual 1 (TRS-WT)	Epd@ Dermal fibroblast
PU.1 after RUNX1/ETO knockdown from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
PU.1 from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
LMO2 after RUNX1/ETO knockdown from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
LMO2 from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
CEBPA after RUNX1/ETO knockdown from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
CEBPA from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
ATCC HTB-22|cultured MCF7 cells (ATCC HTB-22)|MCF7	Brs@ MCF-7
ATCC CCL-243|cultured K562 cells (ATCC CCL-243)|K562	Bld@ K-562
HEK 293T|Input|kidney	Kid@ 293
HEK 293T|dCas9-noED + control gRNA|kidney	Kid@ 293
VCaP|VCaP prostate cancer cells, R1881, ASH2 ChIP|vertebral metastatic lesion-derived prostate cancer cell line	Prs@ VCaP
VCaP|VCaP prostate cancer cells, vehicle, ASH2 ChIP|vertebral metastatic lesion-derived prostate cancer cell line	Prs@ VCaP
293T-Rex cells expressing FLAG/HA-tagged AUTS2|15-20	Kid@ 293
lymphoblastoid|lymphoblastoid cell line	Bld@ Lymphoblastoid cell line
recombinant protein|histidine	Unc@ Unclassified
EP300 after RUNX1/ETO knockdown from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
EP300 from Kasumi1 cells|Kasumi-1	Bld@ Kasumi-1
RUNX1 CD34+ AML blast J282 apheresis|AML blast	Bld@ CD34+
HCT116|HCT116 RNA polymerase II ChIP-seq|human colorectal cancer cell line	Dig@ HCT 116
Spinal cord astrocytes, Sciencell|Sciencell #1820	Neu@ Astrocytes
Skeletal myoblast|Skeletal myoblast	Myo@ Myoblasts
Retinal pigment cells, science cell|Sciencell #6540	Oth@ HRPEpiC
SW1353|SW1353 cells|Human chodrogenic cells	Bon@ SW 1353
HeLa|input from BIX treated RNaseH1 overexpressing cells	Utr@ HeLa
HeLa|PolIIS2ph ChIP in BIX treated RNaseH1 overexpressing cells	Utr@ HeLa
HeLa|input from untreated cells	Utr@ HeLa
HeLa|PolIIS2ph ChIP in untreated cells	Utr@ HeLa
HEK293|HEK293 Cels|embryonic kidney	Kid@ 293
RPMI-8402|T-ALL cell line	Bld@ RPMI 8402
T-ALL cancer sample_H3K27me3|Lymphocytes	Bld@ T-ALL
T-ALL cancer sample_input|Lymphocytes	Bld@ T-ALL
Jurkat|Jurkat culture cells_H3K27me3	Bld@ Jurkat
Jurkat|Jurkat culture cells_H3K27ac_sodium_butirate	Bld@ Jurkat
Jurkat|Jurkat culture cells_H3K27ac	Bld@ Jurkat
Jurkat|Jurkat culture cells_input	Bld@ Jurkat
Human primary fetal liver proerythroblasts (ProEs), TAL1 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), NFE2 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), EZH2_shEZH2 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), EZH2_shNT ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), EZH1_shEZH2 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), EZH1_shNT ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), SUZ12 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), EED ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), H3K4me3 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), H3K27me3 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
Human primary fetal liver proerythroblasts (ProEs), H3K27me1 ChIP|CD34+ HSPC-derived proerythroblasts|fetal liver	Bld@ Erythroblasts
293T-Rex	Kid@ 293
Female Brain: gyrus rectus|Female Brain: gyrus rectus	Neu@ Adult brains
Female Brain: cerebellum|Female Brain: cerebellum	Neu@ Adult brains
Female Brain: putamen|Female Brain: putamen	Neu@ Adult brains
Female Brain: central medial thalamic nuclei (contains nucleus medialis dorsalis fasciculosis, commissural nucleus, paraventricular thalamic nucleus, reuniens thalamic nucleus, cucullaris nucleus, paratenial thalamic nucleus)|Female Brain: central medial thalamic nuclei (contains nucleus medialis dorsalis fasciculosis, commissural nucleus, paraventricular thalamic nucleus, reuniens thalamic nucleus, cucullaris nucleus, paratenial thalamic nucleus)	Neu@ Adult brains
Female Brain: medial superior temporal gyrus (secondary auditory cortex)|Female Brain: medial superior temporal gyrus (secondary auditory cortex)	Neu@ Adult brains
Female Brain: white matter|Female Brain: white matter	Neu@ Adult brains
Female Brain: internal globus pallidus|Female Brain: internal globus pallidus	Neu@ Adult brains
Female Brain: occipital pole, Internal calcarine sulcus, (primary visual cortex V1)|Female Brain: occipital pole, Internal calcarine sulcus, (primary visual cortex V1)	Neu@ Adult brains
Female Brain: posterior precentral gyrus (primary motor cortex)|Female Brain: posterior precentral gyrus (primary motor cortex)	Neu@ Adult brains
GM18916|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18909|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18520|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18511|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18510|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18498|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18486|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19119|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19201|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19171|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19138|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19137|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19101|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19222|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19160|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19159|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18913|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18912|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18855|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18853|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18852|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18523|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18522|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18517|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18516|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18519|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM18499|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19239|Lymphoblastoid cell lines	Bld@ GM19239
GM19193|Lymphoblastoid cell lines	Bld@ GM19193
GM19099|Lymphoblastoid cell lines	Bld@ GM19099
GM19098|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19143|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19152|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
GM19153|Lymphoblastoid cell lines	Bld@ Lymphoblastoid cell lines
