NoAb	NoD@ NA
TAF7L (in-house)|C3H10T1/2 mouse cells	Oth@ Taf7l
TAF7L (in-house)|adipocytes differentiated from C3H10T1/2 mouse cells	Oth@ Taf7l
PPAR (sc-7196)|C3H10T1/2 mouse cells	Oth@ Pparg
PPAR (sc-7196)|adipocytes differentiated from C3H10T1/2 mouse cells	Oth@ Pparg
Pol II (monoclonal 8GW16, protein-A purified)|C3H10T1/2 mouse cells	Pol@ RNA Polymerase II
Pol II (monoclonal 8GW16, protein-A purified)|adipocytes differentiated from C3H10T1/2 mouse cells	Pol@ RNA Polymerase II
IgG (in-house)|C3H10T1/2 mouse cells	InP@ Input control
IgG (in-house)|adipocytes differentiated from C3H10T1/2 mouse cells	InP@ Input control
none|MEF MLL3(+/+)	InP@ Input control
(rb) -H3K4me1 (39297;Active Motif)|MEF MLL3(+/+)	His@ H3K4me1
(rb) -H3K27me3 (39155; Active Motif)|MEF MLL3(+/+)	His@ H3K27me3
none|MEF MLL3(-/-)	InP@ Input control
(rb) -H3K4me1 (39297;Active Motif)|MEF MLL3(-/-)	His@ H3K4me1
(rb) -H3K27me3 (39155; Active Motif)|MEF MLL3(-/-)	His@ H3K27me3
none|MEF MLL1(+/+)	InP@ Input control
(rb) -H3K4me1 (39297;Active Motif)|MEF MLL1(+/+)	His@ H3K4me1
(rb) -H3K27me3 (39155; Active Motif)|MEF MLL1(+/+)	His@ H3K27me3
none|MEF MLL1(-/-)	InP@ Input control
(rb) -H3K4me1 (39297;Active Motif)|MEF MLL1(-/-)	His@ H3K4me1
(rb) -H3K27me3 (39155; Active Motif)|MEF MLL1(-/-)	His@ H3K27me3
MC3T3-E1 cells differentiated for 15 days	Unc@ Unclassified
MC3T3-E1 cells	Unc@ Unclassified
Rag1 -/- with TCRb transgene, thymocytes	Unc@ Unclassified
Anti-CTCF Antibody|Rag1 -/- with TCRb transgene, thymocytes	Oth@ Ctcf
Anti-CTCF Antibody|Rag1 -/- pro-B cells	Oth@ Ctcf
Rag1 -/- CD4-CD8- (DN) thymocytes	Unc@ Unclassified
Anti-CTCF Antibody|Rag1 -/- CD4-CD8- (DN) thymocytes	Oth@ Ctcf
H2B S112 GlcNAc antibody|Mouse ES cell	His@ H2S112GlcNAc
OGT antibody|Mouse ES cell	Oth@ Ogt
in-house made mouse TET2 antibody|Mouse ES cell	Oth@ Tet2
anti-Stat1|Primary bone marrow-derived macrophages, IFNg for 4hrs, Stat1 ChIP	Oth@ Stat1
anti-JunB|Primary bone marrow-derived macrophages, LPS for 4hrs, JunB ChIP	Oth@ Junb
anti-JunB|Primary bone marrow-derived macrophages, no treatment, JunB ChIP	Oth@ Junb
anti-Stat1|Primary bone marrow-derived macrophages, IFNg for 2hrs, Stat1 ChIP	Oth@ Stat1
anti-Stat1|Primary bone marrow-derived macrophages, IFNg for 1hrs, Stat1 ChIP	Oth@ Stat1
anti-Stat1|Primary bone marrow-derived macrophages, IFNg for 30min, Stat1 ChIP	Oth@ Stat1
anti-PU.1 (rabbit polyclonal against the N-terminus (aa. 1-100))|Primary bone marrow-derived macrophages, IFNg for 2hrs, PU.1 ChIP	Oth@ Spi1
anti-PU.1 (rabbit polyclonal against the N-terminus (aa. 1-100))|Primary bone marrow-derived macrophages, IFNg for 1hrs, PU.1 ChIP	Oth@ Spi1
anti-PU.1 (rabbit polyclonal against the N-terminus (aa. 1-100))|Primary bone marrow-derived macrophages, IFNg for 30min, PU.1 ChIP	Oth@ Spi1
anti-H3K4me1|Primary bone marrow-derived macrophages, IFNg for 2hrs, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IFNg for 1hrs, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IFNg for 30min, H3K4me1 ChIP	His@ H3K4me1
anti-Stat6|Primary bone marrow-derived macrophages, IL4 for 4hrs, Stat6 ChIP	Oth@ Stat6
anti-Stat6|Primary bone marrow-derived macrophages, IL4 for 2hrs, Stat6 ChIP	Oth@ Stat6
anti-Stat6|Primary bone marrow-derived macrophages, IL4 for 1hrs, Stat6 ChIP	Oth@ Stat6
anti-Stat6|Primary bone marrow-derived macrophages, IL4 for 30min, Stat6 ChIP	Oth@ Stat6
anti-Stat6|Primary bone marrow-derived macrophages, IL4 for 15min, Stat6 ChIP	Oth@ Stat6
anti-Stat6|Primary bone marrow-derived macrophages, no treatment, Stat6 ChIP	Oth@ Stat6
anti-H3K27ac|Primary bone marrow-derived macrophages, IL4 for 2hrs, H3K27ac ChIP	His@ H3K27ac
anti-H3K27ac|Primary bone marrow-derived macrophages, IL4 for 1hrs, H3K27ac ChIP	His@ H3K27ac
anti-H3K27ac|Primary bone marrow-derived macrophages, IL4 for 30min, H3K27ac ChIP	His@ H3K27ac
anti-H3K27ac|Primary bone marrow-derived macrophages, IL4 for 15min, H3K27ac ChIP	His@ H3K27ac
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 2hrs, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 1hrs, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 30min, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 15min, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IFNg for 24hrs, then washed, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IFNg for 72hrs, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 24hrs, then washed, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1|Primary bone marrow-derived macrophages, IL4 for 72hrs, H3K4me1 ChIP	His@ H3K4me1
custom produced rabbit polyclonal PHF19|Embryonic stem cells	Oth@ Phf19
H3K27me3 - Millipore, #07450|H3K27me3-ShPhf19_ChIPSeq	His@ H3K27me3
H3K27me3 - Millipore, #07449|H3K27me3-ShRd_ChIPSeq	His@ H3K27me3
Suz12 - Abcam, #12073|Suz12_ChIPSeq	Oth@ Suz12
H3K36me2 - Abcam, #9049|H3K36me2_ChIPSeq	His@ H3K36me2
H3K36me3 - Abcam, #9050|H3K36me3_ChIPSeq	His@ H3K36me3
none|intestinal villus cells	InP@ Input control
H3K79me2 antibody: Abcam ab3594 (lot number 121826)|intestinal villus cells	His@ H3K79me2
none|intestinal Lgr5(hi) stem cells	InP@ Input control
H3K79me2 antibody: Abcam ab3594 (lot number 121826)|intestinal Lgr5(hi) stem cells	His@ H3K79me2
anti-PPAR (sc-7196; Santa Cruz)|BAT-derived adipocytes	Oth@ Pparg
anti-PPAR (sc-7196; Santa Cruz)|iWAT-derived adipocytes	Oth@ Pparg
anti-PPAR (sc-7196; Santa Cruz)|eWAT-derived adipocytes	Oth@ Pparg
H3K9me3|3T3-L1 preadipocytes	His@ H3K9me3
H3K9me2|3T3-L1 preadipocytes	His@ H3K9me2
H3K27me3|3T3-L1 preadipocytes	His@ H3K27me3
H3K4me3|3T3-L1 preadipocytes	His@ H3K4me3
anti-H3|ChIP DNA|TS cells_H3 M	His@ H3
anti-H3|ChIP DNA|TS cells_H3 S	His@ H3
anti-H3|ChIP DNA|TS cells_H3 G1	His@ H3
anti-CTCF|ChIP DNA|TS cells_CTCF M	Oth@ Ctcf
anti-CTCF|ChIP DNA|TS cells_CTCF S	Oth@ Ctcf
anti-CTCF|ChIP DNA|TS cells_CTCF G1	Oth@ Ctcf
Input DNA|TS cells_Input M	InP@ Input control
Input DNA|TS cells_Input S	InP@ Input control
Input DNA|TS cells_Input G1	InP@ Input control
anti-H2A|ChIPreChIP DNA|TS cells_reChIP H2A M	His@ H2A
anti-H2A|ChIPreChIP DNA|TS cells_reChIP H2A S	His@ H2A
anti-H2A|ChIPreChIP DNA|TS cells_reChIP H2A G1	His@ H2A
H2A.Z antibodies produced in-house PMID:12660166|ChIP DNA|TS cells_H2A.Z M	His@ H2A.Z
H2A.Z antibodies produced in-house PMID:12660166|ChIP DNA|TS cells_H2A.Z S	His@ H2A.Z
H2A.Z antibodies produced in-house PMID:12660166|ChIP DNA|TS cells_H2A.Z G1	His@ H2A.Z
BD pharmingen, L97-56, lot 17576|ES_Dex-_DKO_ChIPSeq	Oth@ Gata4
BD pharmingen, L97-56, lot 17576|ES_Dex-_Wild-type_ChIPSeq	Oth@ Gata4
BD pharmingen, L97-56, lot 17576|Flk1+Dex+DKO_ChIPSeq	Oth@ Gata4
BD pharmingen, L97-56, lot 17576|Flk1+Dex+Wild-type_ChIPSeq	Oth@ Gata4
STAT6 (Santa Cruz, M-20, sc-981)|Th9 cells, STAT6 ChIP	Oth@ Stat6
STAT5B (R&amp;D Systems)|Th9 cells, STAT5B ChIP	Oth@ Stat5b
Rabbit IgG (R&amp;D Systems)|Th9 cells	InP@ Input control
Ring1b|5694|Kdm2b knockdown mouse ES cells	Oth@ Rnf2
Ring1b|5694|Control mouse ES cells	Oth@ Rnf2
Flag|F7425|Kdm2b knockdown mouse ES cells	Oth@ Epitope tags
Flag|F7425|Control mouse ES cells	Oth@ Epitope tags
IgG|Kdm2b knockdown mouse ES cells	InP@ Input control
IgG|Control mouse ES cells	InP@ Input control
Ezh2|5246|Kdm2b knockdown mouse ES cells	Oth@ Ezh2
Ezh2|5246|Control mouse ES cells	Oth@ Ezh2
Histone H3 dimethyl Lys4 antibody (ACTIVE MOTIF, 39141)|Neural progenitor like cells	His@ H3K4me2
mouse_e11.5_heart_control	Unc@ Unclassified
mouse_e11.5_heart_smarca4-flag	Oth@ Smarca4
mouse_e11.5_hindbrain_smarca4-flag	Oth@ Smarca4
mouse_ESC_smarca4-flag	Oth@ Smarca4
Rabbit IgG, sigma|E8.5 head	InP@ Input control
ZC3H11A_(NB100-74650)|NB100-74650|ZC3H11A is a C3H1-type zinc finger protein. ZC3H11A has been identified as a protein that is phosphorylated upon DNA damage by ATM or ATR. The function of ZC3H11A remains uncharacterized.|Rabbit polyclonal antibody. The immunogen recognized by this antibody maps to a region between residue 250 and 300 of human zinc finger CCCH-type containing 11A.|ES-E14	Oth@ Zc3h11a
MafK_(ab50322)|ab50322|NFE2 DNA-binding activity consists of a heterodimer containing an 18-kD Maf protein (MafF, MafG, or MafK) and p45. Both subunits are members of the activator protein-1 superfamily of basic leucine zipper (bZIP)proteins. Since they lack a putative transactivation domain, small Mafs behave as transcriptional repressors when they dimerize among themselves. They serve as transcriptional activators by dimerizing with other (usually larger) bZip proteins and recruiting them to specific DNA-binding sites.|Rabbit polyclonal. Raised against synthetic peptide: TTNPKPNKALKVKKEA conjugated to KLH by a C-terminal Cysteine residue linker, corresponding to amino acids 2-17 of Human MAFK. Antibody Target: MafK|ES-E14	Oth@ Mafk
ZNF384_(HPA004051)|HPA004051|This gene encodes a C2H2-type zinc finger protein, which may function as a transcription factor. This gene also contains long CAG trinucleotide repeats that encode consecutive glutamine residues. The protein appears to bind and regulate the promoters of the extracellular matrix genes MMP1, MMP3, MMP7 and COL1A1. Studies in mouse suggest that nuclear matrix transcription factors (NP/NMP4) may be part of a general mechanical pathway that couples cell construction and function during extracellular matrix remodeling. Alternative splicing results in multiple transcript variants. Recurrent rearrangements of this gene with the Ewing's sarcoma gene, EWSR1 on chromosome 22, or with the TAF15 gene on chromosome 17, or with the TCF3 (E2A) gene on chromosome 19, have been observed in acute leukemia. A related pseudogene has been identified on chromosome 7.|Rabbit polyclonal generated using the immunogen: Zinc finger protein 384 recombinant protein epitope signature tag (PrEST)|ES-E14	Oth@ Zfp384
CHD1_(NB100-60411)|NB100-60411|ATP-dependent chromatin-remodeling factor which functions as substrate recognition component of the transcription regulatory histone acetylation (HAT) complex SAGA. Regulates polymerase II transcription. Also required for efficient transcription by RNA polymerase I, and more specifically the polymerase I transcription termination step. Also required to maintain a specific chromatin configuration across the genome. Is also associated with histone deacetylase (HDAC) activity (By similarity). Required for the bridging of SNF2, the FACT complex, the PAF complex as well as the U2 snRNP complex to H3K4me3. Required for maintaining open chromatin and pluripotency in embryonic stem cells|Rabbit polyclonal, The epitope recognized by this antibody maps to a region between residue 1660 and 1710 of human chromodomain helicase DNA binding protein 1 using the numbering given in entry NP_001261.2 (GeneID 1105). Antibody Target: CHD1|MEL	Oth@ Chd1
GCN5|Missing|KAT2A, or GCN5, is a histone acetyltransferase (HAT) that functions primarily as a transcriptional activator. Acetylation of histones gives a specific tag for epigenetic transcription activation. In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. Component of the SAGA and ATAC complexes, complexes with histone acetyltransferase activities on histones H3 and H4|Rabbit polyclonal anti-GCN5 antibody (2676), Immunogen : synthetic peptide coupled to Ovalbumin (sequence-MAEPSQAPTPAPAAQPRPLC). Antibody Target: GCN5|MEL	Oth@ Kat2a
CHD1_(NB100-60411)|NB100-60411|ATP-dependent chromatin-remodeling factor which functions as substrate recognition component of the transcription regulatory histone acetylation (HAT) complex SAGA. Regulates polymerase II transcription. Also required for efficient transcription by RNA polymerase I, and more specifically the polymerase I transcription termination step. Also required to maintain a specific chromatin configuration across the genome. Is also associated with histone deacetylase (HDAC) activity (By similarity). Required for the bridging of SNF2, the FACT complex, the PAF complex as well as the U2 snRNP complex to H3K4me3. Required for maintaining open chromatin and pluripotency in embryonic stem cells|Rabbit polyclonal, The epitope recognized by this antibody maps to a region between residue 1660 and 1710 of human chromodomain helicase DNA binding protein 1 using the numbering given in entry NP_001261.2 (GeneID 1105). Antibody Target: CHD1|CH12	Oth@ Chd1
GCN5|Missing|KAT2A, or GCN5, is a histone acetyltransferase (HAT) that functions primarily as a transcriptional activator. Acetylation of histones gives a specific tag for epigenetic transcription activation. In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes. Component of the SAGA and ATAC complexes, complexes with histone acetyltransferase activities on histones H3 and H4|Rabbit polyclonal anti-GCN5 antibody (2676), Immunogen : synthetic peptide coupled to Ovalbumin (sequence-MAEPSQAPTPAPAAQPRPLC). Antibody Target: GCN5|CH12	Oth@ Kat2a
MAZ_(ab85725)|ab85725|May function as a transcription factor with dual roles in transcription initiation and termination. Binds to two sites, ME1a1 and ME1a2, within the MYC promoter having greater affinity for the former. Also binds to multiple G/C-rich sites within the promoter of the Sp1 family of transcription factors.|Rabbit polyclonal, immunogen is synthetic peptide, corresponding to a region within amino acids 427-477 of Human MAZ, GenBank BAA33064.1. Antibody Target: MAZ|CH12	Oth@ Maz
Nrf2|sc-22810|epitope corresponding to amino acids 1-180 mapping at the N-terminus of GABP-alpha of human origin|Rabbit polyclonal IgG. Antibody Target: Nrf2|CH12	Unc@ Unclassified
HCFC1_(NB100-68209)|NB100-68209|The epitope recognized by this antibody maps to a region between residue 1700 and 1750 of human host cell factor C1 (VP16-accessory protein).|Rabbit polyclonalantibody against residue 1700 and 1750 of human host cell factor C1|ES-E14	Oth@ Hcfc1
ZNF-MIZD-CP1_(ab65767)|ab65767|Zinc finger MIZ domain-containing protein 1 that increases ligand-dependent transcriptional activity of AR and promotes AR sumoylation. The stimulation of AR activity is dependent upon sumoylation.|Rabbit Polyclonal against synthetic peptide conjugated to KLH derived from within residues 200 - 300 of Human Zinc finger MIZ domain-containing protein 1.|MEL	Oth@ Zmiz1
ZNF384_(HPA004051)|HPA004051|This gene encodes a C2H2-type zinc finger protein, which may function as a transcription factor. This gene also contains long CAG trinucleotide repeats that encode consecutive glutamine residues. The protein appears to bind and regulate the promoters of the extracellular matrix genes MMP1, MMP3, MMP7 and COL1A1. Studies in mouse suggest that nuclear matrix transcription factors (NP/NMP4) may be part of a general mechanical pathway that couples cell construction and function during extracellular matrix remodeling. Alternative splicing results in multiple transcript variants. Recurrent rearrangements of this gene with the Ewing's sarcoma gene, EWSR1 on chromosome 22, or with the TAF15 gene on chromosome 17, or with the TCF3 (E2A) gene on chromosome 19, have been observed in acute leukemia. A related pseudogene has been identified on chromosome 7.|Rabbit polyclonal generated using the immunogen: Zinc finger protein 384 recombinant protein epitope signature tag (PrEST)|MEL	Oth@ Zfp384
ZNF384_(HPA004051)|HPA004051|This gene encodes a C2H2-type zinc finger protein, which may function as a transcription factor. This gene also contains long CAG trinucleotide repeats that encode consecutive glutamine residues. The protein appears to bind and regulate the promoters of the extracellular matrix genes MMP1, MMP3, MMP7 and COL1A1. Studies in mouse suggest that nuclear matrix transcription factors (NP/NMP4) may be part of a general mechanical pathway that couples cell construction and function during extracellular matrix remodeling. Alternative splicing results in multiple transcript variants. Recurrent rearrangements of this gene with the Ewing's sarcoma gene, EWSR1 on chromosome 22, or with the TAF15 gene on chromosome 17, or with the TCF3 (E2A) gene on chromosome 19, have been observed in acute leukemia. A related pseudogene has been identified on chromosome 7.|Rabbit polyclonal generated using the immunogen: Zinc finger protein 384 recombinant protein epitope signature tag (PrEST)|CH12	Oth@ Zfp384
HCFC1_(NB100-68209)|NB100-68209|The epitope recognized by this antibody maps to a region between residue 1700 and 1750 of human host cell factor C1 (VP16-accessory protein).|Rabbit polyclonalantibody against residue 1700 and 1750 of human host cell factor C1|CH12	Oth@ Hcfc1
BHLHE40_(NB100-1800)|NB100-1800|This gene encodes a basic helix-loop-helix protein expressed in various tissues. Expression in the chondrocytes is responsive to the addition of Bt2cAMP. The encoded protein is believed to be involved in the control of cell differentiation.|Rabbit polyclonal, maps to a region between residues 350 and the C-terminus (residue 412). Antibody Target: BHLHE40|MEL	Oth@ Bhlhe40
ZNF-MIZD-CP1_(ab65767)|ab65767|Zinc finger MIZ domain-containing protein 1 that increases ligand-dependent transcriptional activity of AR and promotes AR sumoylation. The stimulation of AR activity is dependent upon sumoylation.|Rabbit Polyclonal against synthetic peptide conjugated to KLH derived from within residues 200 - 300 of Human Zinc finger MIZ domain-containing protein 1.|CH12	Oth@ Zmiz1
ZC3H11A_(NB100-74650)|NB100-74650|ZC3H11A is a C3H1-type zinc finger protein. ZC3H11A has been identified as a protein that is phosphorylated upon DNA damage by ATM or ATR. The function of ZC3H11A remains uncharacterized.|Rabbit polyclonal antibody. The immunogen recognized by this antibody maps to a region between residue 250 and 300 of human zinc finger CCCH-type containing 11A.|CH12	Oth@ Zc3h11a
Nrf2|sc-22810|epitope corresponding to amino acids 1-180 mapping at the N-terminus of GABP-alpha of human origin|Rabbit polyclonal IgG. Antibody Target: Nrf2|MEL	Unc@ Unclassified
MAZ_(ab85725)|ab85725|May function as a transcription factor with dual roles in transcription initiation and termination. Binds to two sites, ME1a1 and ME1a2, within the MYC promoter having greater affinity for the former. Also binds to multiple G/C-rich sites within the promoter of the Sp1 family of transcription factors.|Rabbit polyclonal, immunogen is synthetic peptide, corresponding to a region within amino acids 427-477 of Human MAZ, GenBank BAA33064.1. Antibody Target: MAZ|MEL	Oth@ Maz
COREST_(sc-30189)|sc-30189|Essential component of the BHC complex, a corepressor complex that represses transcription of neuron-specific genes in non-neuronal cells.  In the BHC complex, it serves as a molecular beacon for the recruitment of molecular machinery, including MeCP2 and SUV39H1, that imposes silencing across a chromosomal interval. Plays a central role in demethylation of Lys-4 of histone H3 by promoting demethylase activity of KDM1A on core histones and nucleosomal substrates.|Rabbit polyclonal, epitope corresponding to amino acids 246-310 mapping within an internal region of CoREST of human origin recommended for detection of CoREST of mouse, rat and human origin. Antibody Target: COREST (sc30189)|MEL	Oth@ Rcor1
UBF_(sc-13125)|sc-13125|Upstream binding factor (UBF) is a transcription factor required for expression of the 18S, 5.8S, and 28S ribosomal RNAs, along with SL1 (a complex of TBP (MIM 600075) and multiple TBP-associated factors or 'TAFs'). Two UBF polypeptides, of 94 and 97 kD, exist in the human (Bell et al., 1988 (PubMed 3413483)). UBF is a nucleolar phosphoprotein with both DNA binding and transactivation domains. Sequence-specific DNA binding to the core and upstream control elements of the human rRNA promoter is mediated through several HMG boxes|UBF (F-9) is a mouse monoclonal antibody raised against amino acids 1-220 of UBF of human origin. Antibody Target: UBF|MEL	Oth@ Ubtf
COREST_(sc-30189)|sc-30189|Essential component of the BHC complex, a corepressor complex that represses transcription of neuron-specific genes in non-neuronal cells.  In the BHC complex, it serves as a molecular beacon for the recruitment of molecular machinery, including MeCP2 and SUV39H1, that imposes silencing across a chromosomal interval. Plays a central role in demethylation of Lys-4 of histone H3 by promoting demethylase activity of KDM1A on core histones and nucleosomal substrates.|Rabbit polyclonal, epitope corresponding to amino acids 246-310 mapping within an internal region of CoREST of human origin recommended for detection of CoREST of mouse, rat and human origin. Antibody Target: COREST (sc30189)|CH12	Oth@ Rcor1
UBF_(sc-13125)|sc-13125|Upstream binding factor (UBF) is a transcription factor required for expression of the 18S, 5.8S, and 28S ribosomal RNAs, along with SL1 (a complex of TBP (MIM 600075) and multiple TBP-associated factors or 'TAFs'). Two UBF polypeptides, of 94 and 97 kD, exist in the human (Bell et al., 1988 (PubMed 3413483)). UBF is a nucleolar phosphoprotein with both DNA binding and transactivation domains. Sequence-specific DNA binding to the core and upstream control elements of the human rRNA promoter is mediated through several HMG boxes|UBF (F-9) is a mouse monoclonal antibody raised against amino acids 1-220 of UBF of human origin. Antibody Target: UBF|CH12	Oth@ Ubtf
ZKSCAN1_(HPA006672)|HPA006672|The ZKSCAN1 gene encodes a transcriptional regulator of the KRAB (Kruppel-associated box) subfamily of zinc finger proteins, which contain repeated Cys2-His2 (C2H2) zinc finger domains that are connected by conserved sequences, called H/C links. Transcriptional regulatory proteins containing tandemly repeated zinc finger domains are thought to be involved in both normal and abnormal cellular proliferation and differentiation.|Rabbit polyclonal, Immunogen: Zinc finger with KRAB and SCAN domain-containing protein 1 recombinant protein epitope signature tag (PrEST). Antibody Target: ZKSCAN1|CH12	Oth@ Zkscan1
SIN3A_(NB600-1263)|NB600-1263|Mammalian Sin 3 (mSin 3) is closely related to the yeast SIN3 repressor protein involved in the transcriptional repression of many genes. Containing 4 paired amphipathic helix domains (PAH domains), mSin 3A and mSin 3B have been shown to directly interact with several other transcriptional repressor proteins including HDAC 1, HDAC 2, RbAp 46, the methyl CpG binding protein MeCP 2, the Mad/Max heterodimer, and the corepressors silencing mediator of retinoic acid &amp; thyroid hormone receptor (SMRT) and nuclear receptor corepressor (N-CoR).|Rabbit polyclonal, Immunogen: Synthetic peptide: MKRRLDDQESDVYAAQQRR, corresponding to amino acids 1-19 of Mouse mSin3A. Antibody Target: SIN3A (NB600-1263)|CH12	Oth@ Sin3a
SIN3A_(NB600-1263)|NB600-1263|Mammalian Sin 3 (mSin 3) is closely related to the yeast SIN3 repressor protein involved in the transcriptional repression of many genes. Containing 4 paired amphipathic helix domains (PAH domains), mSin 3A and mSin 3B have been shown to directly interact with several other transcriptional repressor proteins including HDAC 1, HDAC 2, RbAp 46, the methyl CpG binding protein MeCP 2, the Mad/Max heterodimer, and the corepressors silencing mediator of retinoic acid &amp; thyroid hormone receptor (SMRT) and nuclear receptor corepressor (N-CoR).|Rabbit polyclonal, Immunogen: Synthetic peptide: MKRRLDDQESDVYAAQQRR, corresponding to amino acids 1-19 of Mouse mSin3A. Antibody Target: SIN3A (NB600-1263)|MEL	Oth@ Sin3a
ZKSCAN1_(HPA006672)|HPA006672|The ZKSCAN1 gene encodes a transcriptional regulator of the KRAB (Kruppel-associated box) subfamily of zinc finger proteins, which contain repeated Cys2-His2 (C2H2) zinc finger domains that are connected by conserved sequences, called H/C links. Transcriptional regulatory proteins containing tandemly repeated zinc finger domains are thought to be involved in both normal and abnormal cellular proliferation and differentiation.|Rabbit polyclonal, Immunogen: Zinc finger with KRAB and SCAN domain-containing protein 1 recombinant protein epitope signature tag (PrEST). Antibody Target: ZKSCAN1|MEL	Oth@ Zkscan1
HCFC1_(NB100-68209)|NB100-68209|The epitope recognized by this antibody maps to a region between residue 1700 and 1750 of human host cell factor C1 (VP16-accessory protein).|Rabbit polyclonalantibody against residue 1700 and 1750 of human host cell factor C1|MEL	Oth@ Hcfc1
ETS1|sc-350|ETS transcriptions factors, such as ETS1, regulate numerous genes and are involved in stem cell development, cell senescence and death, and tumorigenesis|Rabbit polyclonal IgG. Antibody Target: ETS1|MEL	Oth@ Ets1
ZC3H11A_(NB100-74650)|NB100-74650|ZC3H11A is a C3H1-type zinc finger protein. ZC3H11A has been identified as a protein that is phosphorylated upon DNA damage by ATM or ATR. The function of ZC3H11A remains uncharacterized.|Rabbit polyclonal antibody. The immunogen recognized by this antibody maps to a region between residue 250 and 300 of human zinc finger CCCH-type containing 11A.|MEL	Oth@ Zc3h11a
ETS1|sc-350|ETS transcriptions factors, such as ETS1, regulate numerous genes and are involved in stem cell development, cell senescence and death, and tumorigenesis|Rabbit polyclonal IgG. Antibody Target: ETS1|CH12	Oth@ Ets1
Th2 polarized cells	Unc@ Unclassified
none|islet	InP@ Input control
Nkx-6.1|islet	Oth@ Nkx6-1
H3K9me3 (Abcam ab8898)|Embryonic stem cells	His@ H3K9me3
H3K9ac (Abcam, ab4441)|Embryonic stem cells	His@ H3K9ac
H3K27ac (Abcam, ab4729)|Embryonic stem cells	His@ H3K27ac
STAT3|Th0 in vitro	Oth@ Stat3
RORg|Th0 in vitro	Oth@ Rorc
Jmjd6|Th17 in vitro	Oth@ Jmjd6
Jmjd3|Th17 in vitro	Oth@ Kdm6b
Fosl2|Th0 in vitro	Oth@ Fosl2
c-Maf|Th0 in vitro	Oth@ Maf
BATF|Th17 in vitro	Oth@ Batf
H3K4me3|ab8580; 07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|ES-E14	His@ H3K4me3
H3K9me3|ab8898|Histone H3 (tri methyl K9). Is associated with repressive heterochromatic state (silenced chromatin). NOTE CONTRAST to H3K9me1 which is associated with active and accessible regions.|rabbit polyclonal, ChIP grade. Antibody Target: H3K9me3|ES-E14	His@ H3K9me3
H3K36me3B|9763S|Histone H3 (tri-methyl K36) marks actively transcribed chromatin regions|rabbit polyclonal. Antibody Target: H3K36me3|MEL	His@ H3K36me3
H3K27me3B|9733S|Histone H3 (tri-methyl K27) marks repressed chromatin regions|rabbit monoclonal. Antibody Target: H3K27me3|MEL	His@ H3K27me3
none|Embryonic stem cells, Kdm2b shRNA, input	InP@ Input control
KDM2B|Embryonic stem cells, Kdm2b shRNA, Kdm2b ChIP	Oth@ Kdm2b
RING1B|Embryonic stem cells, Kdm2b shRNA, Ring1b ChIP	Oth@ Rnf2
none|Embryonic stem cells, control shRNA, input	InP@ Input control
KDM2B|Embryonic stem cells, control shRNA, Kdm2b ChIP	Oth@ Kdm2b
RING1B|Embryonic stem cells, control shRNA, Ring1b ChIP	Oth@ Rnf2
none|Embryonic stem cells, WT, input	InP@ Input control
KDM2B|Embryonic stem cells, WT, Kdm2b ChIP	Oth@ Kdm2b
KDM2A|Embryonic stem cells, WT, Kdm2a ChIP	Oth@ Kdm2a
YY1|YY1|Rag1 -/- pro-B cells	Oth@ Yy1
H3K79me2|39143|H3K79me2 is a mark of the transcriptional transition region - the region between the initiation marks (K4me3, etc) and the elongation marks (K36me3).|Rabbit polyclonal antibody raised against a peptide containing K79 di-methylation. Antibody Target: H3K79me2|MEL	His@ H3K79me2
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|MEL	His@ H3K36me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|MEL	His@ H3K27me3
